request_id,shelter_id,relief_item_id,requested_quantity,current_stock,urgent_quantity,urgency_level,needed_by,status,notes,matched_wish_ids,total_matched_quantity,remaining_quantity,created_at,updated_at
request_000019,SH_019788,relief_item_000685,52,4,48,높음,2025-10-03T21:19:34,대기중,지진 상황 대비 요청,,0,45,2025-09-16T21:19:34,2025-09-16T21:19:34
request_000020,SH_021667,relief_item_000717,1246,225,579,높음,2025-10-15T21:18:23,대기중,지진 상황 대비 요청,,0,1021,2025-09-16T21:18:23,2025-09-16T21:18:23
request_000021,SH_020703,relief_item_000951,43,7,26,높음,2025-10-07T21:17:14,대기중,한파 상황 대비 요청,,0,36,2025-09-16T21:17:14,2025-09-16T21:17:14
request_000022,SH_016461,relief_item_000512,45,14,6,중간,2025-10-07T21:17:17,매칭완료,한파 상황 대비 요청,,0,31,2025-09-16T21:17:17,2025-09-16T21:17:17
request_000023,SH_017250,relief_item_000177,373,10,55,높음,2025-09-21T21:18:19,대기중,지진 상황 대비 요청,,0,362,2025-09-16T21:18:19,2025-09-16T21:18:19
request_000024,SH_010665,relief_item_000086,30,0,7,높음,2025-09-27T21:17:15,매칭완료,지진 상황 대비 요청,,0,30,2025-09-16T21:17:15,2025-09-16T21:17:15
request_000025,SH_012632,relief_item_000506,54,2,42,높음,2025-10-14T21:17:51,배송중,한파 상황 대비 요청,,0,52,2025-09-16T21:17:51,2025-09-16T21:17:51
request_000026,SH_021354,relief_item_000854,32,0,16,높음,2025-10-14T21:17:48,대기중,한파 상황 대비 요청,,0,32,2025-09-16T21:17:48,2025-09-16T21:17:48
request_000027,SH_008870,relief_item_000425,79,0,67,높음,2025-09-29T21:18:26,대기중,지진 상황 대비 요청,,0,78,2025-09-16T21:18:26,2025-09-16T21:18:26
request_000028,SH_000393,relief_item_000010,28,2,14,높음,2025-10-02T21:17:19,매칭완료,해일 상황 대비 요청,,0,26,2025-09-16T21:17:19,2025-09-16T21:17:19
request_000029,SH_017806,relief_item_000053,19,6,0,중간,2025-09-21T21:19:19,배송중,지진 상황 대비 요청,,0,13,2025-09-16T21:19:19,2025-09-16T21:19:19
request_000030,SH_004000,relief_item_000958,2151,465,1184,높음,2025-09-27T21:17:59,대기중,지진 상황 대비 요청,,0,1667,2025-09-16T21:17:59,2025-09-16T21:17:59
request_000031,SH_014608,relief_item_000961,171,11,57,높음,2025-10-08T21:18:30,매칭완료,지진 상황 대비 요청,,0,160,2025-09-16T21:18:30,2025-09-16T21:18:30
request_000032,SH_011545,relief_item_000821,840,212,238,높음,2025-09-27T21:18:36,대기중,지진 상황 대비 요청,,0,614,2025-09-16T21:18:36,2025-09-16T21:18:36
request_000033,SH_009843,relief_item_000594,453,16,310,높음,2025-10-11T21:19:18,매칭완료,지진 상황 대비 요청,,0,437,2025-09-16T21:19:18,2025-09-16T21:19:18
request_000034,SH_022246,relief_item_000669,2019,93,1410,높음,2025-10-09T21:18:27,배송중,지진 상황 대비 요청,,0,1926,2025-09-16T21:18:27,2025-09-16T21:18:27
request_000035,SH_008140,relief_item_000986,348,100,178,높음,2025-09-27T21:18:01,대기중,지진 상황 대비 요청,,0,237,2025-09-16T21:18:01,2025-09-16T21:18:01
request_000036,SH_020437,relief_item_000926,2776,760,1003,높음,2025-10-06T21:19:26,대기중,지진 상황 대비 요청,,0,2016,2025-09-16T21:19:26,2025-09-16T21:19:26
request_000037,SH_014287,relief_item_000690,1193,315,774,높음,2025-09-26T21:19:34,완료,지진 상황 대비 요청,,0,878,2025-09-16T21:19:34,2025-09-16T21:19:34
request_000038,SH_008204,relief_item_000793,2888,209,2631,높음,2025-09-19T21:19:43,완료,지진 상황 대비 요청,,0,2679,2025-09-16T21:19:43,2025-09-16T21:19:43
request_000039,SH_021443,relief_item_000466,2118,553,403,높음,2025-10-09T21:18:27,대기중,지진 상황 대비 요청,,0,1565,2025-09-16T21:18:27,2025-09-16T21:18:27
request_000040,SH_010676,relief_item_000817,472,156,100,중간,2025-09-30T21:18:11,대기중,지진 상황 대비 요청,,0,316,2025-09-16T21:18:11,2025-09-16T21:18:11
request_000041,SH_013317,relief_item_000536,22,4,9,높음,2025-09-24T21:18:36,대기중,지진 상황 대비 요청,,0,10,2025-09-16T21:18:36,2025-09-16T21:18:36
request_000042,SH_007432,relief_item_000902,5401,64,2167,높음,2025-10-14T21:19:17,대기중,지진 상황 대비 요청,,0,5335,2025-09-16T21:19:17,2025-09-16T21:19:17
request_000043,SH_019398,relief_item_000775,1490,380,699,높음,2025-09-29T21:18:19,대기중,지진 상황 대비 요청,,0,1103,2025-09-16T21:18:19,2025-09-16T21:18:19
request_000044,SH_009865,relief_item_000810,193,28,12,높음,2025-09-26T21:19:29,대기중,지진 상황 대비 요청,,0,165,2025-09-16T21:19:29,2025-09-16T21:19:29
request_000045,SH_016586,relief_item_000005,3462,387,2990,높음,2025-09-18T21:17:05,완료,지진 상황 대비 요청,,0,3075,2025-09-16T21:17:05,2025-09-16T21:17:05
request_000046,SH_018697,relief_item_000093,20,0,2,높음,2025-09-23T21:17:34,배송중,지진 상황 대비 요청,,0,20,2025-09-16T21:17:34,2025-09-16T21:17:34
request_000047,SH_003014,relief_item_000397,13,4,2,중간,2025-09-27T21:17:54,매칭완료,지진 상황 대비 요청,,0,3,2025-09-16T21:17:54,2025-09-16T21:17:54
request_000048,SH_003317,relief_item_000366,130,32,97,높음,2025-09-20T21:17:53,대기중,지진 상황 대비 요청,,0,94,2025-09-16T21:17:53,2025-09-16T21:17:53
request_000049,SH_017251,relief_item_000819,62,15,31,높음,2025-09-21T21:17:59,배송중,지진 상황 대비 요청,,0,47,2025-09-16T21:17:59,2025-09-16T21:17:59
request_000050,SH_020197,relief_item_000204,77,9,28,높음,2025-10-07T21:19:36,대기중,지진 상황 대비 요청,,0,68,2025-09-16T21:19:36,2025-09-16T21:19:36
request_000051,SH_017690,relief_item_000603,18,5,4,높음,2025-09-23T21:18:10,매칭완료,지진 상황 대비 요청,,0,13,2025-09-16T21:18:10,2025-09-16T21:18:10
request_000052,SH_002851,relief_item_000778,1096,100,312,높음,2025-10-10T21:17:12,대기중,지진 상황 대비 요청,,0,995,2025-09-16T21:17:12,2025-09-16T21:17:12
request_000053,SH_014561,relief_item_000681,14,4,8,높음,2025-10-08T21:17:35,완료,지진 상황 대비 요청,,0,10,2025-09-16T21:17:35,2025-09-16T21:17:35
request_000054,SH_013243,relief_item_000754,848,153,121,높음,2025-10-02T21:19:32,대기중,지진 상황 대비 요청,,0,695,2025-09-16T21:19:32,2025-09-16T21:19:32
request_000055,SH_006571,relief_item_000734,442,45,182,높음,2025-10-07T21:19:40,취소,지진 상황 대비 요청,,0,397,2025-09-16T21:19:40,2025-09-16T21:19:40
request_000056,SH_007297,relief_item_000166,629,120,227,높음,2025-09-27T21:17:51,대기중,지진 상황 대비 요청,,0,495,2025-09-16T21:17:51,2025-09-16T21:17:51
request_000057,SH_013222,relief_item_000568,731,50,425,높음,2025-09-21T21:17:26,대기중,지진 상황 대비 요청,,0,681,2025-09-16T21:17:26,2025-09-16T21:17:26
request_000058,SH_018563,relief_item_000528,42,9,25,높음,2025-09-27T21:16:52,매칭완료,지진 상황 대비 요청,,0,0,2025-09-16T21:16:52,2025-09-16T21:16:52
request_000059,SH_020228,relief_item_000753,2675,14,1603,높음,2025-09-30T21:18:40,배송중,지진 상황 대비 요청,,0,2661,2025-09-16T21:18:40,2025-09-16T21:18:40
request_000060,SH_016196,relief_item_000754,68,9,53,높음,2025-09-19T21:19:29,완료,지진 상황 대비 요청,,0,59,2025-09-16T21:19:29,2025-09-16T21:19:29
request_000061,SH_021465,relief_item_000015,44,2,16,높음,2025-09-25T21:18:33,매칭완료,지진 상황 대비 요청,,0,42,2025-09-16T21:18:33,2025-09-16T21:18:33
request_000062,SH_021026,relief_item_000023,710,16,44,높음,2025-09-21T21:18:46,대기중,지진 상황 대비 요청,,0,689,2025-09-16T21:18:46,2025-09-16T21:18:46
request_000063,SH_010117,relief_item_000796,13,1,4,높음,2025-10-03T21:18:57,대기중,폭염 상황 대비 요청,,0,6,2025-09-16T21:18:57,2025-09-16T21:18:57
request_000064,SH_010664,relief_item_000566,12148,301,343,높음,2025-10-01T21:19:11,대기중,지진 상황 대비 요청,,0,11847,2025-09-16T21:19:11,2025-09-16T21:19:11
request_000065,SH_001700,relief_item_000808,718,117,311,높음,2025-10-08T21:17:23,매칭완료,지진 상황 대비 요청,,0,601,2025-09-16T21:17:23,2025-09-16T21:17:23
request_000066,SH_007721,relief_item_000473,19,4,14,높음,2025-10-12T21:19:20,대기중,지진 상황 대비 요청,,0,15,2025-09-16T21:19:20,2025-09-16T21:19:20
request_000067,SH_000478,relief_item_000530,12,4,2,중간,2025-09-29T21:18:44,매칭완료,지진 상황 대비 요청,,0,7,2025-09-16T21:18:44,2025-09-16T21:18:44
request_000068,SH_019169,relief_item_000958,43,0,12,높음,2025-09-20T21:18:22,대기중,지진 상황 대비 요청,,0,25,2025-09-16T21:18:22,2025-09-16T21:18:22
request_000069,SH_018731,relief_item_000667,283,38,119,높음,2025-10-12T21:18:46,대기중,지진 상황 대비 요청,,0,245,2025-09-16T21:18:46,2025-09-16T21:18:46
request_000070,SH_012709,relief_item_000750,2016,621,252,중간,2025-09-29T21:17:36,대기중,지진 상황 대비 요청,,0,1376,2025-09-16T21:17:36,2025-09-16T21:17:36
request_000071,SH_021855,relief_item_000554,829,109,204,높음,2025-10-03T21:17:47,완료,지진 상황 대비 요청,,0,720,2025-09-16T21:17:47,2025-09-16T21:17:47
request_000072,SH_013531,relief_item_000093,291,0,207,높음,2025-09-30T21:17:04,대기중,지진 상황 대비 요청,,0,289,2025-09-16T21:17:04,2025-09-16T21:17:04
request_000073,SH_002083,relief_item_000393,15,0,1,높음,2025-10-15T21:18:49,매칭완료,지진 상황 대비 요청,,0,8,2025-09-16T21:18:49,2025-09-16T21:18:49
request_000074,SH_017348,relief_item_000839,228,54,101,높음,2025-10-13T21:17:32,매칭완료,지진 상황 대비 요청,,0,137,2025-09-16T21:17:32,2025-09-16T21:17:32
request_000075,SH_017132,relief_item_000125,259,55,200,높음,2025-10-07T21:17:28,대기중,지진 상황 대비 요청,,0,204,2025-09-16T21:17:28,2025-09-16T21:17:28
request_000076,SH_011972,relief_item_000051,18,5,4,높음,2025-10-05T21:17:50,대기중,한파 상황 대비 요청,,0,10,2025-09-16T21:17:50,2025-09-16T21:17:50
request_000077,SH_022041,relief_item_000011,48,4,17,높음,2025-09-30T21:19:12,대기중,지진 상황 대비 요청,,0,44,2025-09-16T21:19:12,2025-09-16T21:19:12
request_000078,SH_017349,relief_item_000031,15,2,10,높음,2025-10-16T21:17:46,대기중,해일 상황 대비 요청,,0,13,2025-09-16T21:17:46,2025-09-16T21:17:46
request_000079,SH_011891,relief_item_000510,17,5,6,높음,2025-10-12T21:19:22,배송중,해일 상황 대비 요청,,0,12,2025-09-16T21:19:22,2025-09-16T21:19:22
request_000080,SH_014905,relief_item_000594,611,119,195,높음,2025-10-12T21:19:02,대기중,지진 상황 대비 요청,,0,492,2025-09-16T21:19:02,2025-09-16T21:19:02
request_000081,SH_005934,relief_item_000078,143,42,44,높음,2025-09-22T21:17:08,매칭완료,지진 상황 대비 요청,,0,99,2025-09-16T21:17:08,2025-09-16T21:17:08
request_000082,SH_016477,relief_item_000413,344,46,259,높음,2025-09-25T21:19:44,배송중,지진 상황 대비 요청,,0,298,2025-09-16T21:19:44,2025-09-16T21:19:44
request_000083,SH_000002,relief_item_000347,5888,1943,1325,중간,2025-09-26T21:17:13,대기중,지진 상황 대비 요청,,0,3945,2025-09-16T21:17:13,2025-09-16T21:17:13
request_000084,SH_001434,relief_item_000897,20,2,9,높음,2025-10-04T21:17:18,대기중,해일 상황 대비 요청,,0,18,2025-09-16T21:17:18,2025-09-16T21:17:18
request_000085,SH_022673,relief_item_000250,127,39,65,중간,2025-10-01T21:18:28,배송중,지진 상황 대비 요청,,0,88,2025-09-16T21:18:28,2025-09-16T21:18:28
request_000086,SH_010815,relief_item_000475,2075,551,226,높음,2025-10-12T21:17:04,대기중,지진 상황 대비 요청,,0,1509,2025-09-16T21:17:04,2025-09-16T21:17:04
request_000087,SH_003506,relief_item_000865,515,95,419,높음,2025-10-08T21:19:13,대기중,지진 상황 대비 요청,,0,420,2025-09-16T21:19:13,2025-09-16T21:19:13
request_000088,SH_020286,relief_item_000030,345,67,54,높음,2025-09-29T21:19:13,대기중,지진 상황 대비 요청,,0,276,2025-09-16T21:19:13,2025-09-16T21:19:13
request_000089,SH_012969,relief_item_000701,15296,2692,114,높음,2025-09-21T21:18:06,매칭완료,지진 상황 대비 요청,,0,12599,2025-09-16T21:18:06,2025-09-16T21:18:06
request_000090,SH_022710,relief_item_000676,813,109,22,높음,2025-10-09T21:17:14,대기중,지진 상황 대비 요청,,0,670,2025-09-16T21:17:14,2025-09-16T21:17:14
request_000091,SH_007602,relief_item_000095,15,0,14,높음,2025-09-25T21:17:43,대기중,해일 상황 대비 요청,,0,3,2025-09-16T21:17:43,2025-09-16T21:17:43
request_000092,SH_005931,relief_item_000392,625,103,6,높음,2025-09-28T21:17:39,대기중,지진 상황 대비 요청,,0,522,2025-09-16T21:17:39,2025-09-16T21:17:39
request_000093,SH_016048,relief_item_000153,123,32,18,높음,2025-09-19T21:17:43,완료,지진 상황 대비 요청,,0,91,2025-09-16T21:17:43,2025-09-16T21:17:43
request_000094,SH_013487,relief_item_000344,7,2,4,높음,2025-10-12T21:16:54,완료,폭염 상황 대비 요청,,0,5,2025-09-16T21:16:54,2025-09-16T21:16:54
request_000095,SH_018619,relief_item_000165,464,104,325,높음,2025-10-02T21:18:24,완료,지진 상황 대비 요청,,0,360,2025-09-16T21:18:24,2025-09-16T21:18:24
request_000096,SH_016881,relief_item_000569,22,6,1,높음,2025-09-21T21:16:59,대기중,폭염 상황 대비 요청,,0,16,2025-09-16T21:16:59,2025-09-16T21:16:59
request_000097,SH_006041,relief_item_000920,1965,103,1568,높음,2025-10-11T21:18:56,대기중,지진 상황 대비 요청,,0,1860,2025-09-16T21:18:56,2025-09-16T21:18:56
request_000098,SH_022735,relief_item_000894,20,2,2,높음,2025-10-06T21:17:12,취소,지진 상황 대비 요청,,0,18,2025-09-16T21:17:12,2025-09-16T21:17:12
request_000099,SH_011552,relief_item_000854,542,124,19,높음,2025-09-24T21:17:59,대기중,지진 상황 대비 요청,,0,418,2025-09-16T21:17:59,2025-09-16T21:17:59
request_000100,SH_006051,relief_item_000638,1357,242,215,높음,2025-09-20T21:17:19,대기중,지진 상황 대비 요청,,0,1115,2025-09-16T21:17:19,2025-09-16T21:17:19
request_000101,SH_003873,relief_item_000685,24,6,6,높음,2025-09-27T21:16:51,대기중,지진 상황 대비 요청,,0,3,2025-09-16T21:16:51,2025-09-16T21:16:51
request_000102,SH_002318,relief_item_000190,461,3,209,높음,2025-09-17T21:19:09,완료,지진 상황 대비 요청,,0,458,2025-09-16T21:19:09,2025-09-16T21:19:09
request_000103,SH_022608,relief_item_000729,77,14,41,높음,2025-10-05T21:19:45,취소,지진 상황 대비 요청,,0,63,2025-09-16T21:19:45,2025-09-16T21:19:45
request_000104,SH_006026,relief_item_000737,21933,3696,17512,높음,2025-09-27T21:18:43,대기중,지진 상황 대비 요청,,0,18237,2025-09-16T21:18:43,2025-09-16T21:18:43
request_000105,SH_003259,relief_item_000013,1820,78,979,높음,2025-10-07T21:19:43,대기중,지진 상황 대비 요청,,0,1742,2025-09-16T21:19:43,2025-09-16T21:19:43
request_000106,SH_009886,relief_item_000990,213,64,92,중간,2025-10-04T21:17:06,취소,지진 상황 대비 요청,,0,149,2025-09-16T21:17:06,2025-09-16T21:17:06
request_000107,SH_005766,relief_item_000685,477,96,155,높음,2025-10-14T21:18:56,대기중,지진 상황 대비 요청,,0,381,2025-09-16T21:18:56,2025-09-16T21:18:56
request_000108,SH_004504,relief_item_000638,1109,290,269,높음,2025-10-03T21:17:12,대기중,지진 상황 대비 요청,,0,814,2025-09-16T21:17:12,2025-09-16T21:17:12
request_000109,SH_001920,relief_item_000597,7,2,5,높음,2025-09-29T21:18:17,매칭완료,지진 상황 대비 요청,,0,0,2025-09-16T21:18:17,2025-09-16T21:18:17
request_000110,SH_021210,relief_item_000754,41,9,2,높음,2025-10-04T21:18:04,완료,지진 상황 대비 요청,,0,32,2025-09-16T21:18:04,2025-09-16T21:18:04
request_000111,SH_012716,relief_item_000705,76,20,3,높음,2025-09-23T21:17:57,대기중,지진 상황 대비 요청,,0,7,2025-09-16T21:17:57,2025-09-16T21:17:57
request_000112,SH_014340,relief_item_000851,38,8,1,높음,2025-09-18T21:18:35,완료,해일 상황 대비 요청,,0,30,2025-09-16T21:18:35,2025-09-16T21:18:35
request_000113,SH_020861,relief_item_000239,1710,125,411,높음,2025-09-30T21:18:16,대기중,지진 상황 대비 요청,,0,1582,2025-09-16T21:18:16,2025-09-16T21:18:16
request_000114,SH_020608,relief_item_000153,188,13,132,높음,2025-09-21T21:17:02,대기중,지진 상황 대비 요청,,0,136,2025-09-16T21:17:02,2025-09-16T21:17:02
request_000115,SH_007563,relief_item_000668,10,3,3,높음,2025-09-26T21:18:15,대기중,한파 상황 대비 요청,,0,7,2025-09-16T21:18:15,2025-09-16T21:18:15
request_000116,SH_009608,relief_item_000571,975,96,804,높음,2025-10-12T21:18:55,대기중,지진 상황 대비 요청,,0,879,2025-09-16T21:18:55,2025-09-16T21:18:55
request_000117,SH_011515,relief_item_000422,126,2,54,높음,2025-10-15T21:17:17,매칭완료,지진 상황 대비 요청,,0,124,2025-09-16T21:17:17,2025-09-16T21:17:17
request_000118,SH_008043,relief_item_000831,320,27,259,높음,2025-09-25T21:19:47,대기중,지진 상황 대비 요청,,0,288,2025-09-16T21:19:47,2025-09-16T21:19:47
request_000119,SH_004434,relief_item_000359,1365,410,861,중간,2025-09-25T21:17:20,완료,지진 상황 대비 요청,,0,955,2025-09-16T21:17:20,2025-09-16T21:17:20
request_000120,SH_022742,relief_item_000074,87,5,50,높음,2025-09-22T21:16:53,배송중,지진 상황 대비 요청,,0,82,2025-09-16T21:16:53,2025-09-16T21:16:53
request_000121,SH_006756,relief_item_000530,1428,38,886,높음,2025-10-11T21:17:40,대기중,지진 상황 대비 요청,,0,1390,2025-09-16T21:17:40,2025-09-16T21:17:40
request_000122,SH_017811,relief_item_000158,2091,615,932,높음,2025-10-03T21:17:35,대기중,지진 상황 대비 요청,,0,1476,2025-09-16T21:17:35,2025-09-16T21:17:35
request_000123,SH_000654,relief_item_000101,488,129,320,높음,2025-09-25T21:18:41,대기중,지진 상황 대비 요청,,0,359,2025-09-16T21:18:41,2025-09-16T21:18:41
request_000124,SH_019624,relief_item_000511,1264,104,906,높음,2025-10-12T21:18:07,대기중,지진 상황 대비 요청,,0,1155,2025-09-16T21:18:07,2025-09-16T21:18:07
request_000125,SH_000139,relief_item_000048,27,7,17,높음,2025-10-13T21:16:56,매칭완료,한파 상황 대비 요청,,0,20,2025-09-16T21:16:56,2025-09-16T21:16:56
request_000126,SH_002737,relief_item_000368,91,1,33,높음,2025-10-11T21:18:36,대기중,지진 상황 대비 요청,,0,90,2025-09-16T21:18:36,2025-09-16T21:18:36
request_000127,SH_000523,relief_item_000126,864,47,369,높음,2025-09-17T21:16:50,배송중,지진 상황 대비 요청,,0,817,2025-09-16T21:16:50,2025-09-16T21:16:50
request_000128,SH_013002,relief_item_000875,178,22,123,높음,2025-09-24T21:19:46,대기중,지진 상황 대비 요청,,0,152,2025-09-16T21:19:46,2025-09-16T21:19:46
request_000129,SH_002002,relief_item_000840,411,123,196,높음,2025-10-04T21:19:03,대기중,지진 상황 대비 요청,,0,284,2025-09-16T21:19:03,2025-09-16T21:19:03
request_000130,SH_016964,relief_item_000315,1935,351,582,높음,2025-10-04T21:19:08,완료,지진 상황 대비 요청,,0,1584,2025-09-16T21:19:08,2025-09-16T21:19:08
request_000131,SH_010221,relief_item_000004,123,16,23,높음,2025-09-28T21:17:23,매칭완료,지진 상황 대비 요청,,0,78,2025-09-16T21:17:23,2025-09-16T21:17:23
request_000132,SH_008097,relief_item_000844,170,40,26,높음,2025-09-25T21:18:57,매칭완료,지진 상황 대비 요청,,0,120,2025-09-16T21:18:57,2025-09-16T21:18:57
request_000133,SH_015143,relief_item_000447,1097,65,349,높음,2025-10-01T21:18:25,대기중,지진 상황 대비 요청,,0,1006,2025-09-16T21:18:25,2025-09-16T21:18:25
request_000134,SH_021105,relief_item_000690,741,200,219,높음,2025-10-06T21:17:36,대기중,지진 상황 대비 요청,,0,503,2025-09-16T21:17:36,2025-09-16T21:17:36
request_000135,SH_005885,relief_item_000926,897,82,149,높음,2025-10-11T21:19:16,대기중,지진 상황 대비 요청,,0,815,2025-09-16T21:19:16,2025-09-16T21:19:16
request_000136,SH_013548,relief_item_000851,1461,81,208,높음,2025-09-18T21:19:40,대기중,지진 상황 대비 요청,,0,1375,2025-09-16T21:19:40,2025-09-16T21:19:40
request_000137,SH_000620,relief_item_000282,95,20,27,높음,2025-10-07T21:19:33,대기중,지진 상황 대비 요청,,0,66,2025-09-16T21:19:33,2025-09-16T21:19:33
request_000138,SH_005553,relief_item_000187,60,11,45,높음,2025-10-06T21:18:58,취소,지진 상황 대비 요청,,0,49,2025-09-16T21:18:58,2025-09-16T21:18:58
request_000139,SH_016651,relief_item_000999,5116,728,4381,높음,2025-09-21T21:17:06,배송중,지진 상황 대비 요청,,0,4388,2025-09-16T21:17:06,2025-09-16T21:17:06
request_000140,SH_019620,relief_item_000512,972,318,578,중간,2025-09-23T21:18:00,완료,지진 상황 대비 요청,,0,654,2025-09-16T21:18:00,2025-09-16T21:18:00
request_000141,SH_019243,relief_item_000451,188,5,163,높음,2025-09-20T21:18:36,완료,지진 상황 대비 요청,,0,183,2025-09-16T21:18:36,2025-09-16T21:18:36
request_000142,SH_019521,relief_item_000125,693,66,282,높음,2025-10-06T21:19:38,대기중,지진 상황 대비 요청,,0,627,2025-09-16T21:19:38,2025-09-16T21:19:38
request_000143,SH_013955,relief_item_000096,1173,48,1032,높음,2025-10-06T21:17:43,대기중,지진 상황 대비 요청,,0,1121,2025-09-16T21:17:43,2025-09-16T21:17:43
request_000144,SH_011096,relief_item_000871,14,3,2,높음,2025-10-11T21:19:21,대기중,지진 상황 대비 요청,,0,9,2025-09-16T21:19:21,2025-09-16T21:19:21
request_000145,SH_011607,relief_item_000945,116,21,16,높음,2025-09-23T21:19:02,대기중,지진 상황 대비 요청,,0,95,2025-09-16T21:19:02,2025-09-16T21:19:02
request_000146,SH_007538,relief_item_000623,717,203,439,높음,2025-10-10T21:17:05,대기중,지진 상황 대비 요청,,0,506,2025-09-16T21:17:05,2025-09-16T21:17:05
request_000147,SH_012512,relief_item_000571,96,4,26,높음,2025-09-18T21:17:50,매칭완료,지진 상황 대비 요청,,0,86,2025-09-16T21:17:50,2025-09-16T21:17:50
request_000148,SH_012012,relief_item_000512,52,10,27,높음,2025-09-19T21:17:47,매칭완료,폭염 상황 대비 요청,,0,41,2025-09-16T21:17:47,2025-09-16T21:17:47
request_000149,SH_019518,relief_item_000526,15,1,10,높음,2025-09-27T21:19:47,완료,지진 상황 대비 요청,,0,14,2025-09-16T21:19:47,2025-09-16T21:19:47
request_000150,SH_003181,relief_item_000007,4462,437,819,높음,2025-10-02T21:17:41,배송중,지진 상황 대비 요청,,0,4025,2025-09-16T21:17:41,2025-09-16T21:17:41
request_000151,SH_002867,relief_item_000801,9843,1781,3326,높음,2025-10-14T21:19:09,매칭완료,지진 상황 대비 요청,,0,8062,2025-09-16T21:19:09,2025-09-16T21:19:09
request_000152,SH_015710,relief_item_000667,14515,1632,6019,높음,2025-10-08T21:19:33,대기중,지진 상황 대비 요청,,0,12883,2025-09-16T21:19:33,2025-09-16T21:19:33
request_000153,SH_005209,relief_item_000716,43,4,12,높음,2025-10-07T21:17:12,대기중,해일 상황 대비 요청,,0,39,2025-09-16T21:17:12,2025-09-16T21:17:12
request_000154,SH_004922,relief_item_000498,1649,209,311,높음,2025-09-23T21:16:51,대기중,지진 상황 대비 요청,,0,1440,2025-09-16T21:16:51,2025-09-16T21:16:51
request_000155,SH_006990,relief_item_000951,103,34,33,중간,2025-09-22T21:17:11,매칭완료,한파 상황 대비 요청,,0,69,2025-09-16T21:17:11,2025-09-16T21:17:11
