consumption_id,shelter_id,disaster_incident_id,relief_item_id,consumed_quantity,start_date,end_date,duration_days,daily_consumption_rate,peak_consumption_day,peak_consumption_quantity,remain_item,shelter_occupancy,occupancy_rate,disaster_severity,weather_conditions,special_circumstances,waste_rate,satisfaction_score,adequacy_level,restock_frequency,seasonality,children_ratio,elderly_ratio,disabled_ratio,accessibility_score,distribution_efficiency,recorded_by,created_at,updated_at
consumption_000011,SH_004315,,relief_item_000613,10,2020-05-06,2020-05-24,18,0.56,13,0,1,1606,0.04,낮음,비,"장애인 포함,반려동물 포함",0.127,4.4,적정,4,봄,0.05,0.26,0.08,4.7,0.8,user_000002,2020-05-24,2020-05-24
consumption_000012,SH_013392,incident_000248,relief_item_000600,3,2023-10-21,2023-11-03,13,0.23,12,0,0,57,0.71,높음,추위,"장애인 포함,반려동물 포함,고령자 포함",0.079,4.5,과다,3,가을,0.36,0.01,0.1,2.9,0.97,user_000002,2023-11-03,2023-11-03
consumption_000013,SH_022528,,relief_item_000266,8,2025-02-11,2025-03-12,29,0.28,15,0,0,731,0.61,낮음,더위,"반려동물 포함,어린이 다수,고령자 포함",0.133,4.5,부족,0,겨울,0.24,0.17,0.08,2.7,0.91,user_000009,2025-03-12,2025-03-12
consumption_000014,SH_016001,incident_000002,relief_item_000135,3,2020-07-26,2020-08-05,10,0.3,8,0,0,17236,0.75,낮음,추위,"장애인 포함,반려동물 포함",0.066,4.6,과다,1,여름,0.01,0.04,0.11,4.7,0.99,user_000002,2020-08-05,2020-08-05
consumption_000015,SH_011861,,relief_item_000650,1,2015-12-12,2015-12-30,18,0.06,12,0,0,38,0.38,낮음,추위,"장애인 포함,어린이 다수",0.099,3.7,과다,1,겨울,0.22,0.04,0.14,2.7,0.63,user_000008,2015-12-30,2015-12-30
consumption_000016,SH_018621,,relief_item_000118,1,2019-07-01,2019-07-20,19,0.05,19,0,0,1853,0.83,낮음,더위,"고령자 포함,어린이 다수,장애인 포함",0.033,3.3,적정,2,여름,0.36,0.06,0.12,2.0,0.9,user_000008,2019-07-20,2019-07-20
consumption_000017,SH_012034,,relief_item_000342,2,2021-10-07,2021-10-19,12,0.17,12,0,0,2592,0.5,낮음,추위,"고령자 포함,반려동물 포함",0.148,3.8,과다,5,가을,0.16,0.05,0.09,4.0,0.87,user_000004,2021-10-19,2021-10-19
consumption_000018,SH_016241,incident_000068,relief_item_000703,7,2022-01-17,2022-01-21,4,1.75,3,3,0,317,0.53,중간,비,"반려동물 포함,장애인 포함,어린이 다수",0.054,2.3,적정,3,겨울,0.21,0.05,0.01,4.8,0.85,user_000010,2022-01-21,2022-01-21
consumption_000019,SH_010946,,relief_item_000376,1,2018-01-06,2018-01-16,10,0.1,7,0,0,4670,0.74,낮음,일반,장애인 포함,0.02,2.8,부족,4,겨울,0.3,0.08,0.11,2.2,0.72,user_000010,2018-01-16,2018-01-16
consumption_000020,SH_004819,incident_000347,relief_item_000507,4,2022-06-15,2022-07-15,30,0.13,7,0,0,107,1.0,중간,더위,"장애인 포함,반려동물 포함,어린이 다수",0.041,3.3,충분,4,여름,0.22,0.1,0.12,4.5,0.69,user_000009,2022-07-15,2022-07-15
consumption_000021,SH_015642,,relief_item_000733,4,2016-08-03,2016-08-12,9,0.44,1,0,0,5766,0.46,중간,일반,"반려동물 포함,고령자 포함",0.019,3.0,부족,3,여름,0.38,0.29,0.09,4.6,0.72,user_000002,2016-08-12,2016-08-12
consumption_000022,SH_007599,incident_000993,relief_item_000879,1,2018-01-04,2018-01-22,18,0.06,5,0,0,47,0.98,높음,눈,고령자 포함,0.024,3.7,부족,3,겨울,0.19,0.27,0.05,3.5,0.95,user_000003,2018-01-22,2018-01-22
consumption_000023,SH_014537,incident_000277,relief_item_000325,12,2018-08-04,2018-08-10,6,2.0,6,3,0,3769,0.33,높음,추위,"장애인 포함,어린이 다수,고령자 포함",0.097,3.0,과다,3,여름,0.25,0.27,0.06,4.7,0.73,user_000005,2018-08-10,2018-08-10
consumption_000024,SH_012934,,relief_item_000388,20,2016-05-02,2016-05-04,2,10.0,1,12,1,131,0.02,낮음,눈,"고령자 포함,어린이 다수,반려동물 포함",0.028,3.6,과다,0,봄,0.07,0.01,0.12,3.3,0.98,user_000007,2016-05-04,2016-05-04
consumption_000025,SH_000880,,relief_item_000222,3,2018-03-02,2018-03-18,16,0.19,2,0,0,8207,0.95,높음,추위,"고령자 포함,장애인 포함",0.02,2.3,과다,0,봄,0.05,0.06,0.03,2.2,0.62,user_000008,2018-03-18,2018-03-18
consumption_000026,SH_010555,incident_000880,relief_item_000128,1,2016-03-26,2016-04-24,29,0.03,5,0,0,82,0.63,중간,더위,"고령자 포함,어린이 다수",0.026,4.8,과다,4,봄,0.16,0.07,0.06,4.8,0.95,user_000009,2016-04-24,2016-04-24
consumption_000027,SH_016754,incident_000213,relief_item_000819,6,2016-07-14,2016-07-24,10,0.6,5,1,1,883,0.37,낮음,눈,"고령자 포함,어린이 다수,반려동물 포함",0.149,2.5,충분,0,여름,0.13,0.27,0.1,2.5,0.86,user_000004,2016-07-24,2016-07-24
consumption_000028,SH_007807,incident_000282,relief_item_000409,6,2016-01-28,2016-02-22,25,0.24,1,0,0,30,0.03,중간,더위,장애인 포함,0.069,2.4,부족,1,겨울,0.29,0.07,0.04,2.1,0.61,user_000007,2016-02-22,2016-02-22
consumption_000029,SH_021275,,relief_item_000929,1,2019-01-05,2019-01-11,6,0.17,6,0,0,70,0.56,낮음,눈,"고령자 포함,반려동물 포함,어린이 다수",0.016,2.8,과다,3,겨울,0.32,0.09,0.06,4.8,0.67,user_000006,2019-01-11,2019-01-11
consumption_000030,SH_005254,,relief_item_000290,2,2016-11-06,2016-11-29,23,0.09,8,0,0,1590,0.93,낮음,추위,"어린이 다수,반려동물 포함,장애인 포함",0.038,3.0,충분,1,가을,0.2,0.07,0.1,3.3,0.62,user_000003,2016-11-29,2016-11-29
consumption_000031,SH_007004,incident_000108,relief_item_000477,3,2016-03-25,2016-04-22,28,0.11,27,0,0,226,0.65,중간,비,고령자 포함,0.003,3.3,적정,1,봄,0.34,0.13,0.06,3.9,0.84,user_000008,2016-04-22,2016-04-22
consumption_000032,SH_006625,,relief_item_000116,0,2022-08-25,2022-09-20,26,0.0,1,0,0,1997,0.93,높음,비,"어린이 다수,반려동물 포함,고령자 포함",0.119,3.7,부족,3,여름,0.2,0.05,0.07,3.2,0.64,user_000002,2022-09-20,2022-09-20
consumption_000033,SH_021508,incident_000137,relief_item_000231,1,2024-06-24,2024-07-22,28,0.04,8,0,0,5626,0.85,중간,추위,"반려동물 포함,장애인 포함",0.065,4.0,충분,2,여름,0.34,0.26,0.08,3.0,0.79,user_000003,2024-07-22,2024-07-22
consumption_000034,SH_013832,incident_000405,relief_item_000789,3,2023-03-07,2023-04-02,26,0.12,2,0,0,3113,0.16,높음,비,"장애인 포함,반려동물 포함",0.098,3.0,적정,2,봄,0.14,0.17,0.02,3.6,0.65,user_000004,2023-04-02,2023-04-02
consumption_000035,SH_015638,incident_000544,relief_item_000905,1,2019-06-23,2019-07-09,16,0.06,13,0,0,12852,0.3,높음,더위,"어린이 다수,반려동물 포함",0.113,4.6,부족,4,여름,0.18,0.25,0.03,2.6,0.73,user_000008,2019-07-09,2019-07-09
consumption_000036,SH_010826,,relief_item_000211,1,2018-06-25,2018-07-16,21,0.05,3,0,0,71,0.71,중간,일반,"반려동물 포함,어린이 다수",0.118,4.4,충분,2,여름,0.13,0.3,0.03,4.2,0.8,user_000008,2018-07-16,2018-07-16
consumption_000037,SH_011792,incident_000303,relief_item_000075,6,2016-11-10,2016-11-24,14,0.43,2,0,1,1242,0.5,중간,추위,"장애인 포함,고령자 포함,어린이 다수",0.052,3.4,과다,5,가을,0.38,0.06,0.12,2.9,0.63,user_000005,2016-11-24,2016-11-24
consumption_000038,SH_007662,,relief_item_000378,3,2023-10-03,2023-10-21,18,0.17,18,0,0,1304,0.43,중간,눈,"장애인 포함,반려동물 포함",0.127,2.3,과다,4,가을,0.21,0.21,0.02,4.8,0.86,user_000007,2023-10-21,2023-10-21
consumption_000039,SH_009658,incident_000318,relief_item_000015,10,2021-12-11,2021-12-24,13,0.77,2,0,1,1453,0.33,중간,비,"반려동물 포함,고령자 포함,장애인 포함",0.067,3.1,적정,0,겨울,0.36,0.27,0.1,3.1,0.7,user_000002,2021-12-24,2021-12-24
consumption_000040,SH_019625,,relief_item_000444,0,2018-01-22,2018-02-16,25,0.0,2,0,0,556,0.4,낮음,비,"고령자 포함,장애인 포함,반려동물 포함",0.11,3.8,부족,4,겨울,0.05,0.23,0.11,4.9,0.7,user_000004,2018-02-16,2018-02-16
consumption_000041,SH_007525,,relief_item_000778,1,2018-11-20,2018-11-27,7,0.14,1,0,0,90,0.9,높음,일반,고령자 포함,0.1,2.4,적정,0,가을,0.21,0.18,0.02,4.1,0.99,user_000002,2018-11-27,2018-11-27
consumption_000042,SH_013194,,relief_item_000368,19,2021-07-11,2021-07-19,8,2.38,1,2,2,1208,0.86,낮음,추위,"어린이 다수,장애인 포함",0.116,3.8,부족,1,여름,0.21,0.04,0.11,2.5,0.71,user_000001,2021-07-19,2021-07-19
consumption_000043,SH_005359,,relief_item_000121,4,2021-05-27,2021-06-06,10,0.4,7,0,0,200,0.91,낮음,더위,"반려동물 포함,장애인 포함",0.139,2.5,과다,1,봄,0.3,0.13,0.05,5.0,0.63,user_000007,2021-06-06,2021-06-06
consumption_000044,SH_013464,incident_000555,relief_item_000245,0,2025-02-28,2025-03-24,24,0.0,23,0,0,1927,0.22,낮음,더위,장애인 포함,0.006,4.2,부족,1,겨울,0.39,0.09,0.04,3.3,0.81,user_000001,2025-03-24,2025-03-24
consumption_000045,SH_005967,incident_000435,relief_item_000184,2,2021-04-24,2021-05-19,25,0.08,9,0,0,1054,0.81,낮음,더위,"어린이 다수,고령자 포함",0.142,3.3,충분,0,봄,0.36,0.08,0.08,3.8,0.71,user_000009,2021-05-19,2021-05-19
consumption_000046,SH_010952,,relief_item_000554,15,2017-12-19,2018-01-09,21,0.71,9,1,1,101,0.39,낮음,더위,어린이 다수,0.092,2.6,적정,5,겨울,0.11,0.03,0.03,2.7,0.65,user_000006,2018-01-09,2018-01-09
consumption_000047,SH_015901,incident_000835,relief_item_000271,1,2018-09-14,2018-10-09,25,0.04,6,0,0,12936,0.99,낮음,더위,"어린이 다수,고령자 포함,장애인 포함",0.075,3.5,과다,1,가을,0.26,0.19,0.12,2.8,0.77,user_000009,2018-10-09,2018-10-09
consumption_000048,SH_010495,incident_000128,relief_item_000730,1,2017-04-25,2017-05-08,13,0.08,3,0,0,21,0.22,중간,더위,장애인 포함,0.13,3.2,부족,0,봄,0.01,0.05,0.05,2.4,0.81,user_000006,2017-05-08,2017-05-08
consumption_000049,SH_009229,,relief_item_000067,4,2019-03-24,2019-04-07,14,0.29,8,0,0,420,0.03,낮음,일반,고령자 포함,0.129,4.2,과다,4,봄,0.35,0.03,0.13,2.6,0.95,user_000002,2019-04-07,2019-04-07
consumption_000050,SH_011352,,relief_item_000195,1,2020-11-08,2020-12-04,26,0.04,7,0,0,1482,0.04,중간,추위,"반려동물 포함,고령자 포함",0.023,3.0,과다,0,가을,0.3,0.07,0.02,4.3,0.98,user_000001,2020-12-04,2020-12-04
consumption_000051,SH_006365,,relief_item_000103,1,2016-05-30,2016-06-02,3,0.33,2,0,0,120,0.38,낮음,일반,"고령자 포함,반려동물 포함",0.066,4.8,부족,2,봄,0.1,0.05,0.13,2.6,0.82,user_000006,2016-06-02,2016-06-02
consumption_000052,SH_012469,,relief_item_000023,0,2017-09-25,2017-10-07,12,0.0,6,0,0,31,0.34,높음,비,"반려동물 포함,장애인 포함,어린이 다수",0.145,4.8,부족,5,가을,0.13,0.02,0.13,4.6,0.65,user_000009,2017-10-07,2017-10-07
consumption_000053,SH_001788,,relief_item_000703,0,2023-10-08,2023-10-22,14,0.0,14,0,0,25978,0.56,낮음,일반,"어린이 다수,고령자 포함,반려동물 포함",0.013,4.4,충분,5,가을,0.29,0.03,0.04,4.5,0.75,user_000002,2023-10-22,2023-10-22
consumption_000054,SH_016250,,relief_item_000300,0,2020-04-22,2020-05-10,18,0.0,1,0,0,621,0.26,중간,더위,"고령자 포함,장애인 포함",0.037,3.0,부족,4,봄,0.4,0.28,0.12,3.8,0.96,user_000001,2020-05-10,2020-05-10
consumption_000055,SH_006453,,relief_item_000653,1,2022-01-01,2022-01-06,5,0.2,1,0,0,1452,0.13,낮음,눈,"고령자 포함,장애인 포함,반려동물 포함",0.089,2.5,충분,0,겨울,0.24,0.11,0.0,4.9,0.73,user_000001,2022-01-06,2022-01-06
consumption_000056,SH_006865,incident_000281,relief_item_000216,16,2017-10-12,2017-10-22,10,1.6,8,2,0,440,0.09,낮음,일반,어린이 다수,0.017,4.7,부족,3,가을,0.09,0.05,0.01,2.1,1.0,user_000005,2017-10-22,2017-10-22
consumption_000057,SH_007868,,relief_item_000538,5,2023-10-02,2023-10-13,11,0.45,1,0,1,11109,0.97,중간,비,"어린이 다수,반려동물 포함",0.049,2.3,부족,0,가을,0.14,0.17,0.02,3.9,0.75,user_000001,2023-10-13,2023-10-13
consumption_000058,SH_015837,,relief_item_000141,1,2018-05-07,2018-05-15,8,0.12,1,0,0,1058,0.6,낮음,일반,"장애인 포함,고령자 포함,어린이 다수",0.061,4.3,충분,0,봄,0.3,0.17,0.12,2.3,0.92,user_000002,2018-05-15,2018-05-15
consumption_000059,SH_016485,,relief_item_000868,3,2024-07-18,2024-08-04,17,0.18,3,0,0,9622,0.33,낮음,비,장애인 포함,0.082,3.1,과다,0,여름,0.36,0.18,0.03,3.4,0.71,user_000001,2024-08-04,2024-08-04
consumption_000060,SH_010592,,relief_item_000625,26,2023-09-20,2023-10-20,30,0.87,4,0,1,2438,0.4,낮음,더위,장애인 포함,0.125,2.3,충분,2,가을,0.36,0.06,0.02,3.3,1.0,user_000009,2023-10-20,2023-10-20
consumption_000061,SH_013548,incident_000866,relief_item_000851,6,2019-10-30,2019-11-17,18,0.33,3,0,0,2720,0.56,높음,추위,어린이 다수,0.124,3.4,적정,4,가을,0.35,0.09,0.04,2.9,0.73,user_000005,2019-11-17,2019-11-17
consumption_000062,SH_008553,incident_000275,relief_item_000576,3,2023-04-28,2023-05-24,26,0.12,13,0,0,98,0.39,낮음,눈,어린이 다수,0.045,2.3,적정,3,봄,0.21,0.2,0.07,4.4,0.94,user_000003,2023-05-24,2023-05-24
consumption_000063,SH_002005,incident_000265,relief_item_000196,2,2017-06-08,2017-06-26,18,0.11,16,0,0,116,0.02,낮음,더위,"장애인 포함,고령자 포함,반려동물 포함",0.022,4.4,부족,5,여름,0.19,0.05,0.04,2.1,0.69,user_000001,2017-06-26,2017-06-26
consumption_000064,SH_007420,,relief_item_000091,17,2022-05-04,2022-05-22,18,0.94,8,0,4,8700,0.87,중간,더위,어린이 다수,0.026,3.4,적정,3,봄,0.34,0.07,0.09,4.3,0.77,user_000005,2022-05-22,2022-05-22
consumption_000065,SH_017602,incident_000442,relief_item_000981,0,2016-05-18,2016-05-28,10,0.0,5,0,0,50,0.78,중간,더위,"어린이 다수,장애인 포함,고령자 포함",0.014,2.8,부족,0,봄,0.09,0.21,0.15,3.4,0.9,user_000005,2016-05-28,2016-05-28
consumption_000066,SH_009229,,relief_item_000067,6,2025-08-20,2025-08-31,11,0.55,8,1,1,5198,0.38,높음,비,"고령자 포함,장애인 포함,어린이 다수",0.095,3.6,적정,2,여름,0.34,0.16,0.09,2.8,0.67,user_000002,2025-08-31,2025-08-31
consumption_000067,SH_013464,incident_000555,relief_item_000245,1,2025-09-10,2025-09-17,7,0.14,1,0,0,5304,0.6,중간,추위,"어린이 다수,장애인 포함,반려동물 포함",0.116,4.3,과다,0,가을,0.16,0.06,0.15,4.0,0.78,user_000001,2025-09-17,2025-09-17
consumption_000068,SH_013325,,relief_item_000915,5,2021-03-16,2021-04-08,23,0.22,23,0,1,11902,0.99,낮음,추위,"어린이 다수,고령자 포함",0.005,2.8,부족,3,봄,0.32,0.28,0.08,3.3,0.88,user_000010,2021-04-08,2021-04-08
consumption_000069,SH_021748,,relief_item_000251,1,2023-06-27,2023-07-11,14,0.07,11,0,0,31,0.62,중간,눈,고령자 포함,0.092,4.8,부족,2,여름,0.24,0.18,0.05,4.1,0.95,user_000004,2023-07-11,2023-07-11
consumption_000070,SH_001951,incident_000088,relief_item_000040,1,2019-04-19,2019-04-27,8,0.12,7,0,0,7202,0.91,중간,추위,어린이 다수,0.083,3.4,충분,2,봄,0.27,0.14,0.04,3.2,0.74,user_000005,2019-04-27,2019-04-27
consumption_000071,SH_006834,,relief_item_000647,4,2018-03-22,2018-03-30,8,0.5,3,0,1,1202,0.32,중간,더위,반려동물 포함,0.022,4.0,과다,2,봄,0.06,0.17,0.05,3.5,0.89,user_000007,2018-03-30,2018-03-30
consumption_000072,SH_000339,,relief_item_000757,6,2018-10-04,2018-10-20,16,0.38,10,0,0,546,0.63,높음,추위,"어린이 다수,반려동물 포함,장애인 포함",0.137,2.4,충분,4,가을,0.29,0.2,0.1,4.6,0.66,user_000002,2018-10-20,2018-10-20
consumption_000073,SH_005967,incident_000435,relief_item_000184,1,2025-01-21,2025-02-09,19,0.05,6,0,0,521,0.4,높음,더위,"반려동물 포함,고령자 포함,장애인 포함",0.009,2.3,적정,5,겨울,0.17,0.04,0.12,4.0,0.65,user_000009,2025-02-09,2025-02-09
consumption_000074,SH_012830,,relief_item_000971,1,2017-09-17,2017-10-09,22,0.05,21,0,0,662,0.46,낮음,추위,"고령자 포함,장애인 포함",0.109,3.1,적정,4,가을,0.1,0.27,0.02,3.4,0.98,user_000008,2017-10-09,2017-10-09
consumption_000075,SH_012029,,relief_item_000952,2,2022-07-27,2022-08-10,14,0.14,4,0,0,21158,0.74,낮음,비,"고령자 포함,반려동물 포함,어린이 다수",0.15,3.8,부족,0,여름,0.32,0.01,0.13,3.9,0.95,user_000008,2022-08-10,2022-08-10
consumption_000076,SH_013835,incident_000392,relief_item_000352,2,2020-12-30,2021-01-14,15,0.13,14,0,0,64,0.13,중간,일반,고령자 포함,0.11,2.4,과다,1,겨울,0.13,0.0,0.07,2.4,0.66,user_000010,2021-01-14,2021-01-14
consumption_000077,SH_006607,incident_000449,relief_item_000527,1,2020-08-13,2020-09-04,22,0.05,10,0,0,68,0.78,중간,비,"어린이 다수,장애인 포함,반려동물 포함",0.14,2.4,충분,1,여름,0.32,0.03,0.07,3.0,0.62,user_000007,2020-09-04,2020-09-04
consumption_000078,SH_016231,incident_000513,relief_item_000972,2,2015-11-19,2015-12-10,21,0.1,4,0,0,174,0.58,낮음,눈,"어린이 다수,반려동물 포함",0.132,3.3,부족,3,가을,0.02,0.08,0.14,3.3,0.86,user_000006,2015-12-10,2015-12-10
consumption_000079,SH_013352,incident_000327,relief_item_000558,0,2024-11-01,2024-11-29,28,0.0,6,0,0,1653,0.23,낮음,눈,장애인 포함,0.04,3.9,과다,5,가을,0.11,0.02,0.12,4.8,0.78,user_000006,2024-11-29,2024-11-29
consumption_000080,SH_019473,incident_000314,relief_item_000072,1,2022-04-18,2022-05-15,27,0.04,6,0,0,154,0.76,중간,추위,"장애인 포함,고령자 포함",0.144,3.0,충분,3,봄,0.09,0.11,0.08,4.0,0.64,user_000003,2022-05-15,2022-05-15
consumption_000081,SH_019093,,relief_item_000821,1,2022-03-30,2022-04-17,18,0.06,3,0,0,160,0.68,낮음,비,"장애인 포함,어린이 다수,반려동물 포함",0.007,4.8,부족,1,봄,0.4,0.27,0.03,2.8,0.94,user_000001,2022-04-17,2022-04-17
consumption_000082,SH_017749,,relief_item_000505,5,2016-08-26,2016-09-23,28,0.18,18,0,1,1204,0.88,높음,눈,"어린이 다수,반려동물 포함,고령자 포함",0.087,4.9,과다,4,여름,0.21,0.24,0.07,2.1,0.95,user_000006,2016-09-23,2016-09-23
consumption_000083,SH_017247,,relief_item_000750,0,2018-11-14,2018-11-20,6,0.0,2,0,0,145,0.83,낮음,일반,장애인 포함,0.027,3.2,부족,0,가을,0.11,0.26,0.15,4.7,0.82,user_000006,2018-11-20,2018-11-20
consumption_000084,SH_013506,,relief_item_000513,1,2016-08-15,2016-09-07,23,0.04,5,0,0,1096,0.55,높음,눈,어린이 다수,0.045,3.7,충분,0,여름,0.11,0.29,0.14,3.8,0.85,user_000001,2016-09-07,2016-09-07
consumption_000085,SH_019389,,relief_item_000701,4,2019-08-29,2019-09-01,3,1.33,3,1,0,30,0.13,높음,더위,"고령자 포함,어린이 다수,반려동물 포함",0.121,2.3,적정,1,여름,0.36,0.06,0.07,4.4,0.81,user_000001,2019-09-01,2019-09-01
consumption_000086,SH_016825,,relief_item_000261,5,2016-06-22,2016-07-21,29,0.17,7,0,1,40,0.27,높음,더위,"어린이 다수,고령자 포함,반려동물 포함",0.143,2.1,적정,2,여름,0.28,0.25,0.1,3.6,0.99,user_000010,2016-07-21,2016-07-21
consumption_000087,SH_003304,incident_000219,relief_item_000102,3,2024-02-17,2024-03-06,18,0.17,1,0,0,5028,0.7,낮음,비,어린이 다수,0.099,2.9,적정,3,겨울,0.14,0.19,0.09,3.2,0.93,user_000008,2024-03-06,2024-03-06
consumption_000088,SH_011281,,relief_item_000014,3,2018-02-26,2018-03-06,8,0.38,8,0,0,5614,0.85,높음,눈,장애인 포함,0.008,2.2,적정,1,겨울,0.19,0.09,0.1,3.0,0.72,user_000001,2018-03-06,2018-03-06
consumption_000089,SH_010855,,relief_item_000270,5,2022-06-29,2022-07-13,14,0.36,9,0,0,41,0.36,중간,더위,"장애인 포함,어린이 다수,고령자 포함",0.059,3.2,부족,3,여름,0.08,0.19,0.13,4.0,0.88,user_000007,2022-07-13,2022-07-13
consumption_000090,SH_013832,incident_000405,relief_item_000789,1,2015-10-18,2015-10-21,3,0.33,2,0,0,9872,0.52,낮음,더위,"고령자 포함,어린이 다수,반려동물 포함",0.101,2.7,충분,5,가을,0.36,0.2,0.09,2.6,0.96,user_000004,2015-10-21,2015-10-21
consumption_000091,SH_005215,,relief_item_000502,0,2018-03-28,2018-04-10,13,0.0,12,0,0,359,0.9,낮음,더위,"고령자 포함,장애인 포함,반려동물 포함",0.014,3.8,과다,2,봄,0.38,0.15,0.14,3.7,0.86,user_000010,2018-04-10,2018-04-10
consumption_000092,SH_000015,,relief_item_000569,4,2022-08-11,2022-09-09,29,0.14,14,0,0,318,0.47,높음,비,고령자 포함,0.061,4.4,부족,2,여름,0.36,0.16,0.13,3.9,0.7,user_000010,2022-09-09,2022-09-09
consumption_000093,SH_000753,,relief_item_000833,0,2021-09-24,2021-10-22,28,0.0,14,0,0,1967,0.63,낮음,더위,"장애인 포함,고령자 포함",0.119,2.6,적정,4,가을,0.08,0.25,0.12,3.3,0.68,user_000005,2021-10-22,2021-10-22
consumption_000094,SH_004251,,relief_item_000809,0,2018-07-11,2018-08-05,25,0.0,5,0,0,2394,0.77,낮음,일반,반려동물 포함,0.05,3.4,과다,1,여름,0.23,0.07,0.05,4.5,0.7,user_000003,2018-08-05,2018-08-05
consumption_000095,SH_010312,,relief_item_000090,4,2025-04-03,2025-04-30,27,0.15,22,0,0,4712,0.45,중간,일반,어린이 다수,0.068,4.7,적정,5,봄,0.37,0.01,0.03,3.4,0.98,user_000010,2025-04-30,2025-04-30
consumption_000096,SH_022169,,relief_item_000486,1,2017-05-23,2017-05-30,7,0.14,2,0,0,4365,0.73,높음,눈,장애인 포함,0.072,4.0,과다,5,봄,0.17,0.03,0.03,2.9,0.73,user_000004,2017-05-30,2017-05-30
consumption_000097,SH_015144,incident_000844,relief_item_000212,1,2023-02-23,2023-03-10,15,0.07,5,0,0,3601,0.48,높음,추위,"반려동물 포함,어린이 다수",0.084,3.7,충분,5,겨울,0.04,0.29,0.13,2.8,0.62,user_000003,2023-03-10,2023-03-10
consumption_000098,SH_017097,incident_000881,relief_item_000368,3,2020-03-02,2020-03-18,16,0.19,11,0,0,285,0.57,중간,추위,"반려동물 포함,장애인 포함",0.056,4.1,적정,1,봄,0.11,0.1,0.14,2.4,0.87,user_000001,2020-03-18,2020-03-18
consumption_000099,SH_013194,,relief_item_000368,23,2021-11-25,2021-11-26,1,23.0,1,36,2,1322,0.94,높음,더위,어린이 다수,0.029,2.9,적정,0,가을,0.32,0.24,0.08,2.3,0.86,user_000001,2021-11-26,2021-11-26
consumption_000100,SH_004101,,relief_item_000262,4,2016-12-26,2017-01-13,18,0.22,4,0,0,401,0.61,중간,비,"고령자 포함,어린이 다수,반려동물 포함",0.04,2.9,과다,2,겨울,0.27,0.08,0.15,2.3,0.71,user_000006,2017-01-13,2017-01-13
