match_id,donation_wish_id,relief_request_id,matched_quantity,donor_id,shelter_id,relief_item_id,status,matched_at,delivery_scheduled_at,delivery_completed_at,verified_at,delivery_company,tracking_number,delivery_address,created_at,updated_at
match_000011,wish_010722,request_007123,10,user_006654,SH_013605,relief_item_000864,취소,2025-09-16T21:19:46,2025-09-18T21:19:46,2025-09-20T03:19:46,2025-09-20T07:19:46,CJ대한통운,TRK353566142,,2025-09-16T21:19:46,2025-09-16T21:19:46
match_000012,wish_014227,request_007292,5,user_003985,SH_002981,relief_item_000703,매칭완료,2025-09-16T21:19:46,2025-09-18T21:19:46,2025-09-20T17:19:46,2025-09-20T18:19:46,CJ대한통운,TRK236246898,"광주광역시 광산구 송도로182번길 55 (도산동, 도산동 1차 대주파크빌)",2025-09-16T21:19:46,2025-09-16T21:19:46
match_000013,wish_016168,request_007953,2,user_000782,SH_002319,relief_item_000805,배송중,2025-09-16T21:18:28,2025-09-18T21:18:28,2025-09-19T03:18:28,2025-09-19T08:18:28,한진택배,TRK678403945,"부산광역시 남구 분포로 111(용호동, 엘지메트로시티)",2025-09-16T21:18:28,2025-09-16T21:18:28
match_000014,wish_008217,request_007908,3,user_000130,SH_022754,relief_item_000678,검수완료,2025-09-16T21:19:04,2025-09-17T21:19:04,2025-09-19T07:19:04,2025-09-19T13:19:04,우체국택배,TRK338883062,"경기도 용인시 수지구 상현로 27 (상현동, 상현마을쌍용2차스윗닷홈A단지아파트)",2025-09-16T21:19:04,2025-09-16T21:19:04
match_000015,wish_006577,request_007313,1,user_004734,SH_005696,relief_item_000576,배송완료,2025-09-16T21:19:22,2025-09-17T21:19:22,2025-09-18T11:19:22,2025-09-18T14:19:22,CJ대한통운,TRK402218213,"대구광역시 북구 팔거천동로24길 40 (동천동, 칠곡2차영남타운)",2025-09-16T21:19:22,2025-09-16T21:19:22
match_000016,wish_000319,request_000332,15,user_001863,SH_003763,relief_item_000112,배송중,2025-09-16T21:19:09,2025-09-17T21:19:09,2025-09-19T19:19:09,2025-09-19T22:19:09,우체국택배,TRK155641626,광주광역시 광산구 장덕로137번길 17 (수완동),2025-09-16T21:19:09,2025-09-16T21:19:09
match_000017,wish_021755,request_007792,61,user_004504,SH_006527,relief_item_000100,취소,2025-09-16T21:19:06,2025-09-18T21:19:06,2025-09-19T09:19:06,2025-09-19T13:19:06,우체국택배,TRK809713505,"충청북도 청주시 서원구 모충로104번길 25 (모충동, 삼호아파트)",2025-09-16T21:19:06,2025-09-16T21:19:06
match_000018,wish_008333,request_008890,1,user_001531,SH_001409,relief_item_000546,배송완료,2025-09-16T21:18:30,2025-09-17T21:18:30,2025-09-19T02:18:30,2025-09-19T06:18:30,롯데택배,TRK143715466,"서울특별시 강동구 고덕로19길 30 (암사동, 한강포스파크아파트)",2025-09-16T21:18:30,2025-09-16T21:18:30
match_000019,wish_001744,request_004958,10,user_009434,SH_011115,relief_item_000440,배송완료,2025-09-16T21:19:16,2025-09-18T21:19:16,2025-09-19T16:19:16,2025-09-19T18:19:16,한진택배,TRK553251098,충청남도 청양군 청양읍 문화예술로 222 (청양군청),2025-09-16T21:19:16,2025-09-16T21:19:16
match_000020,wish_019413,request_003600,3,user_000504,SH_013392,relief_item_000600,검수완료,2025-09-16T21:18:19,2025-09-19T21:18:19,2025-09-21T19:18:19,2025-09-21T21:18:19,한진택배,TRK709237909,인천광역시 중구 월미문화로 81 (북성동1가),2025-09-16T21:18:19,2025-09-16T21:18:19
match_000021,wish_008257,request_006819,2,user_008292,SH_007685,relief_item_000250,검수완료,2025-09-16T21:18:33,2025-09-19T21:18:33,2025-09-20T18:18:33,2025-09-20T21:18:33,한진택배,TRK941543592,"경기도 수원시 영통구 봉영로 1526(영통동, 살구골 진덕,서광,성지,동아 아파트)",2025-09-16T21:18:33,2025-09-16T21:18:33
match_000022,wish_004779,request_003574,2,user_006912,SH_007924,relief_item_000591,매칭완료,2025-09-16T21:18:14,2025-09-19T21:18:14,2025-09-20T21:18:14,2025-09-21T00:18:14,CJ대한통운,TRK824917433,"서울특별시 서초구 남부순환로 2477 (서초동, JW TOWER)",2025-09-16T21:18:14,2025-09-16T21:18:14
match_000023,wish_005586,request_001311,8,user_009065,SH_001770,relief_item_000181,취소,2025-09-16T21:18:03,2025-09-18T21:18:03,2025-09-19T14:18:03,2025-09-19T15:18:03,CJ대한통운,TRK213272260,경기도 성남시 분당구 탄천로 215,2025-09-16T21:18:03,2025-09-16T21:18:03
match_000024,wish_013994,request_001626,15,user_006758,SH_007058,relief_item_000775,검수완료,2025-09-16T21:18:47,2025-09-17T21:18:47,2025-09-18T16:18:47,2025-09-18T20:18:47,롯데택배,TRK654404541,부산광역시 동래구 명안로72번길 42 (명장동),2025-09-16T21:18:47,2025-09-16T21:18:47
match_000025,wish_001545,request_004845,2,user_009129,SH_001951,relief_item_000040,배송중,2025-09-16T21:18:00,2025-09-18T21:18:00,2025-09-19T20:18:00,2025-09-19T21:18:00,한진택배,TRK489562394,"인천광역시 남동구 인주대로 585 (구월동, 한국씨티은행)",2025-09-16T21:18:00,2025-09-16T21:18:00
match_000026,wish_003638,request_009198,3,user_006185,SH_009194,relief_item_000325,배송중,2025-09-16T21:18:52,2025-09-18T21:18:52,2025-09-20T03:18:52,2025-09-20T09:18:52,롯데택배,TRK190294285,"부산광역시 사상구 대동로64번길 25 (학장동, 금강아파트)",2025-09-16T21:18:52,2025-09-16T21:18:52
match_000027,wish_027332,request_009181,1,user_003391,SH_003317,relief_item_000413,배송중,2025-09-16T21:18:26,2025-09-18T21:18:26,2025-09-20T03:18:26,2025-09-20T07:18:26,한진택배,TRK411469757,"경상북도 상주시 냉림안길 52 (냉림동, 2차 진주맨션)",2025-09-16T21:18:26,2025-09-16T21:18:26
match_000028,wish_018552,request_004499,23,user_007149,SH_009291,relief_item_000586,매칭완료,2025-09-16T21:19:08,2025-09-18T21:19:08,2025-09-19T08:19:08,2025-09-19T09:19:08,롯데택배,TRK413162084,"강원특별자치도 원주시 흥양로 64(태장동, 두진백로아파트)",2025-09-16T21:19:08,2025-09-16T21:19:08
match_000029,wish_025294,request_006543,1,user_005049,SH_018984,relief_item_000527,배송중,2025-09-16T21:19:11,2025-09-18T21:19:11,2025-09-19T03:19:11,2025-09-19T08:19:11,한진택배,TRK242727392,"제주특별자치도 제주시 천수로8길 18 (일도이동, 일도삼주아파트)",2025-09-16T21:19:11,2025-09-16T21:19:11
match_000030,wish_018591,request_003847,1,user_008367,SH_006267,relief_item_000047,취소,2025-09-16T21:18:14,2025-09-17T21:18:14,2025-09-18T01:18:14,2025-09-18T02:18:14,한진택배,TRK669382427,울산광역시 중구 학성로 155 (학산동),2025-09-16T21:18:14,2025-09-16T21:18:14
match_000031,wish_019152,request_005857,13,user_003956,SH_021359,relief_item_000100,배송중,2025-09-16T21:17:55,2025-09-17T21:17:55,2025-09-18T17:17:55,2025-09-18T23:17:55,한진택배,TRK358099276,"강원특별자치도 철원군 갈말읍 명성로 208, 철원병원",2025-09-16T21:17:55,2025-09-16T21:17:55
match_000032,wish_020657,request_002526,5,user_002688,SH_004410,relief_item_000853,검수완료,2025-09-16T21:18:48,2025-09-19T21:18:48,2025-09-21T19:18:48,2025-09-21T21:18:48,롯데택배,TRK334775894,부산광역시 사하구 사하로185번길 46 (괴정동),2025-09-16T21:18:48,2025-09-16T21:18:48
match_000033,wish_025946,request_003222,2,user_004724,SH_015642,relief_item_000733,배송완료,2025-09-16T21:19:49,2025-09-17T21:19:49,2025-09-19T09:19:49,2025-09-19T10:19:49,CJ대한통운,TRK431370457,서울특별시 동대문구 고산자로 534 (제기동),2025-09-16T21:19:49,2025-09-16T21:19:49
match_000034,wish_009322,request_003909,3,user_005163,SH_001736,relief_item_000265,취소,2025-09-16T21:19:04,2025-09-18T21:19:04,2025-09-20T08:19:04,2025-09-20T09:19:04,우체국택배,TRK511905703,"서울특별시 중랑구 용마산로 210 (면목동, 용마산 하늘채)",2025-09-16T21:19:04,2025-09-16T21:19:04
match_000035,wish_019305,request_001361,1,user_008600,SH_022690,relief_item_000360,매칭완료,2025-09-16T21:18:42,2025-09-18T21:18:42,2025-09-20T16:18:42,2025-09-20T20:18:42,롯데택배,TRK378221808,경기도 고양시 덕양구 소원로 41 (행신동),2025-09-16T21:18:42,2025-09-16T21:18:42
match_000036,wish_003799,request_002608,1,user_002168,SH_013032,relief_item_000003,매칭완료,2025-09-16T21:17:53,2025-09-17T21:17:53,2025-09-19T19:17:53,2025-09-19T23:17:53,한진택배,TRK910213198,"전북특별자치도 정읍시 대흥3길 21-13, 103층 (시기동, 삼화그린아파트)",2025-09-16T21:17:53,2025-09-16T21:17:53
match_000037,wish_015335,request_009964,2,user_002409,SH_009118,relief_item_000907,배송완료,2025-09-16T21:18:40,2025-09-18T21:18:40,2025-09-19T03:18:40,2025-09-19T04:18:40,한진택배,TRK203149519,"광주광역시 동구 무등로 339 (계림동, 호남직업전문학원)",2025-09-16T21:18:40,2025-09-16T21:18:40
match_000038,wish_007776,request_005341,1,user_004348,SH_013882,relief_item_000186,배송중,2025-09-16T21:18:38,2025-09-17T21:18:38,2025-09-18T01:18:38,2025-09-18T05:18:38,CJ대한통운,TRK430366318,"대구광역시 북구 연암로 183, 지하1층 (산격동, 산격주공아파트)",2025-09-16T21:18:38,2025-09-16T21:18:38
match_000039,wish_004656,request_002521,6,user_004144,SH_019141,relief_item_000558,취소,2025-09-16T21:18:56,2025-09-18T21:18:56,2025-09-20T00:18:56,2025-09-20T03:18:56,CJ대한통운,TRK561634935,경기도 고양시 덕양구 고양대로 1242 (주교동),2025-09-16T21:18:56,2025-09-16T21:18:56
match_000040,wish_004439,request_003023,23,user_000496,SH_013832,relief_item_000789,매칭완료,2025-09-16T21:18:27,2025-09-18T21:18:27,2025-09-20T00:18:27,2025-09-20T06:18:27,한진택배,TRK372900602,"서울특별시 동작구 흑석로 84 (흑석동, 중앙대학교)",2025-09-16T21:18:27,2025-09-16T21:18:27
match_000041,wish_025659,request_002239,1,user_004430,SH_002435,relief_item_000469,취소,2025-09-16T21:19:33,2025-09-18T21:19:33,2025-09-19T08:19:33,2025-09-19T12:19:33,한진택배,TRK713481779,서울특별시 구로구 경인로 382-0 (개봉동),2025-09-16T21:19:33,2025-09-16T21:19:33
match_000042,wish_013254,request_003621,2,user_009191,SH_009304,relief_item_000057,취소,2025-09-16T21:19:38,2025-09-18T21:19:38,2025-09-20T18:19:38,2025-09-20T20:19:38,우체국택배,TRK552962631,"강원특별자치도 원주시 무실로47번길 34 (원동, 원동현진아파트)",2025-09-16T21:19:38,2025-09-16T21:19:38
match_000043,wish_012944,request_009517,1,user_004443,SH_021581,relief_item_000997,배송완료,2025-09-16T21:18:30,2025-09-17T21:18:30,2025-09-18T16:18:30,2025-09-18T17:18:30,우체국택배,TRK929853036,대전광역시 서구 계룡로 598 (괴정동),2025-09-16T21:18:30,2025-09-16T21:18:30
match_000044,wish_005391,request_004595,1,user_009415,SH_003539,relief_item_000423,취소,2025-09-16T21:19:12,2025-09-19T21:19:12,2025-09-20T02:19:12,2025-09-20T03:19:12,우체국택배,TRK234386308,"부산광역시 남구 못골번영로 6 (대연동, 못골대중사우나)",2025-09-16T21:19:12,2025-09-16T21:19:12
match_000045,wish_028217,request_000695,1,user_000384,SH_018239,relief_item_000007,매칭완료,2025-09-16T21:18:46,2025-09-18T21:18:46,2025-09-20T13:18:46,2025-09-20T15:18:46,우체국택배,TRK249295506,경기도 안양시 동안구 시민대로 197 (비산동),2025-09-16T21:18:46,2025-09-16T21:18:46
match_000046,wish_024295,request_001280,2,user_005805,SH_001664,relief_item_000533,검수완료,2025-09-16T21:18:48,2025-09-18T21:18:48,2025-09-19T17:18:48,2025-09-19T19:18:48,한진택배,TRK322751728,"경기도 광주시 양벌로 375 (양벌동, 대주2차아파트)",2025-09-16T21:18:48,2025-09-16T21:18:48
match_000047,wish_010101,request_006037,1,user_000651,SH_019135,relief_item_000067,검수완료,2025-09-16T21:19:02,2025-09-19T21:19:02,2025-09-20T21:19:02,2025-09-21T01:19:02,CJ대한통운,TRK568383951,"대구광역시 남구 대봉로26길 37 (이천동, 이천뜨란채4단지)",2025-09-16T21:19:02,2025-09-16T21:19:02
match_000048,wish_001671,request_003504,10,user_001483,SH_005483,relief_item_000658,매칭완료,2025-09-16T21:19:28,2025-09-18T21:19:28,2025-09-19T07:19:28,2025-09-19T10:19:28,한진택배,TRK943983526,"제주특별자치도 제주시 대동길 17-1 (이호이동, 대일아파트)",2025-09-16T21:19:28,2025-09-16T21:19:28
match_000049,wish_003594,request_003510,1,user_006174,SH_007208,relief_item_000776,매칭완료,2025-09-16T21:18:32,2025-09-19T21:18:32,2025-09-21T05:18:32,2025-09-21T06:18:32,CJ대한통운,TRK306641221,"서울특별시 구로구 구일로2길 60 (구로동, 구일우성아파트)",2025-09-16T21:18:32,2025-09-16T21:18:32
match_000050,wish_025307,request_008505,21,user_002226,SH_014350,relief_item_000754,배송완료,2025-09-16T21:19:06,2025-09-19T21:19:06,2025-09-20T12:19:06,2025-09-20T13:19:06,우체국택배,TRK552803997,"서울특별시 은평구 백련산로2길 19 (응암동, 백련산힐스테이트1차)",2025-09-16T21:19:06,2025-09-16T21:19:06
match_000051,wish_010990,request_000909,47,user_008547,SH_006126,relief_item_000949,취소,2025-09-16T21:19:27,2025-09-17T21:19:27,2025-09-18T02:19:27,2025-09-18T03:19:27,한진택배,TRK227747317,"부산광역시 수영구 광서로 54 (광안동, 상아아파트)",2025-09-16T21:19:27,2025-09-16T21:19:27
match_000052,wish_007111,request_001659,6,user_008548,SH_014886,relief_item_000865,취소,2025-09-16T21:19:35,2025-09-19T21:19:35,2025-09-20T22:19:35,2025-09-21T04:19:35,CJ대한통운,TRK115376102,"서울특별시 은평구 증산로3길 26-1 (증산동, 우방아파트)",2025-09-16T21:19:35,2025-09-16T21:19:35
match_000053,wish_005080,request_003714,2,user_006702,SH_004941,relief_item_000882,취소,2025-09-16T21:19:41,2025-09-17T21:19:41,2025-09-18T08:19:41,2025-09-18T11:19:41,CJ대한통운,TRK130281036,"경기도 용인시 기흥구 덕영대로 1732, 경희대학교국제캠퍼스 (서천동)",2025-09-16T21:19:41,2025-09-16T21:19:41
match_000054,wish_014101,request_003438,1,user_003335,SH_005525,relief_item_000279,배송완료,2025-09-16T21:19:22,2025-09-18T21:19:22,2025-09-20T12:19:22,2025-09-20T14:19:22,우체국택배,TRK918798134,서울특별시 관악구 난곡로 55 (신림동),2025-09-16T21:19:22,2025-09-16T21:19:22
match_000055,wish_010328,request_009025,1,user_005518,SH_008553,relief_item_000834,매칭완료,2025-09-16T21:18:02,2025-09-17T21:18:02,2025-09-19T00:18:02,2025-09-19T02:18:02,한진택배,TRK159008812,인천광역시 남구 인주대로366번길 23-0 (주안동),2025-09-16T21:18:02,2025-09-16T21:18:02
match_000056,wish_003040,request_008834,1,user_006582,SH_022434,relief_item_000856,취소,2025-09-16T21:19:09,2025-09-17T21:19:09,2025-09-19T07:19:09,2025-09-19T12:19:09,CJ대한통운,TRK839618303,"경기도 고양시 일산동구 은행마을로 62 (식사동, 은행마을2단지동문굿모닝힐아파트)",2025-09-16T21:19:09,2025-09-16T21:19:09
match_000057,wish_023321,request_001715,10,user_001682,SH_009618,relief_item_000554,배송중,2025-09-16T21:18:41,2025-09-17T21:18:41,2025-09-19T20:18:41,2025-09-19T23:18:41,CJ대한통운,TRK444898493,,2025-09-16T21:18:41,2025-09-16T21:18:41
match_000058,wish_002563,request_009955,2,user_003266,SH_015901,relief_item_000271,매칭완료,2025-09-16T21:18:43,2025-09-19T21:18:43,2025-09-21T08:18:43,2025-09-21T09:18:43,한진택배,TRK821529552,"경상남도 창원시 마산회원구 양덕동2길 76 (양덕동, 대림하이빌)",2025-09-16T21:18:43,2025-09-16T21:18:43
match_000059,wish_011391,request_005721,6,user_003363,SH_000128,relief_item_000560,검수완료,2025-09-16T21:18:47,2025-09-19T21:18:47,2025-09-21T09:18:47,2025-09-21T11:18:47,한진택배,TRK715478663,"제주특별자치도 제주시 승천로 27, 107동 지하1층 (이도이동, 영산홍주택)",2025-09-16T21:18:47,2025-09-16T21:18:47
match_000060,wish_003204,request_003473,8,user_002519,SH_010595,relief_item_000694,취소,2025-09-16T21:18:07,2025-09-18T21:18:07,2025-09-19T01:18:07,2025-09-19T02:18:07,우체국택배,TRK789472134,"부산광역시 북구 금곡대로 222 (화명동, 동원로얄듀크)",2025-09-16T21:18:07,2025-09-16T21:18:07
match_000061,wish_008120,request_000252,12,user_008267,SH_009465,relief_item_000226,검수완료,2025-09-16T21:19:38,2025-09-18T21:19:38,2025-09-20T04:19:38,2025-09-20T06:19:38,한진택배,TRK408046294,강원특별자치도 홍천군 홍천읍 석화로 93,2025-09-16T21:19:38,2025-09-16T21:19:38
match_000062,wish_023630,request_004126,30,user_003221,SH_016064,relief_item_000103,매칭완료,2025-09-16T21:19:45,2025-09-17T21:19:45,2025-09-18T06:19:45,2025-09-18T10:19:45,롯데택배,TRK283965271,"제주특별자치도 제주시 첨단로동길 106(월평동, 제주첨단 꿈에그린 3단지 아파트)",2025-09-16T21:19:45,2025-09-16T21:19:45
match_000063,wish_012389,request_005868,17,user_000521,SH_013094,relief_item_000287,매칭완료,2025-09-16T21:19:20,2025-09-19T21:19:20,2025-09-21T02:19:20,2025-09-21T06:19:20,롯데택배,TRK338794785,경상남도 창원시 진해구 벚꽃로 68-1 (화천동),2025-09-16T21:19:20,2025-09-16T21:19:20
match_000064,wish_016891,request_009619,1,user_003060,SH_017235,relief_item_000420,취소,2025-09-16T21:19:25,2025-09-19T21:19:25,2025-09-20T17:19:25,2025-09-20T18:19:25,CJ대한통운,TRK428006871,전북특별자치도 익산시 무왕로 1397 (부송동),2025-09-16T21:19:25,2025-09-16T21:19:25
match_000065,wish_014543,request_008048,2,user_007123,SH_015126,relief_item_000799,검수완료,2025-09-16T21:18:50,2025-09-18T21:18:50,2025-09-20T17:18:50,2025-09-20T19:18:50,롯데택배,TRK573372818,"광주광역시 서구 운천로31번길 17 (금호동, 금호1동주민센터)",2025-09-16T21:18:50,2025-09-16T21:18:50
match_000066,wish_012973,request_003041,1,user_001950,SH_017167,relief_item_000979,검수완료,2025-09-16T21:17:55,2025-09-18T21:17:55,2025-09-19T14:17:55,2025-09-19T16:17:55,우체국택배,TRK978053347,"부산광역시 연제구 거제대로 198, 104동 지하1층 (거제동, 현대아파트)",2025-09-16T21:17:55,2025-09-16T21:17:55
match_000067,wish_006414,request_009824,4,user_001982,SH_000240,relief_item_000472,배송중,2025-09-16T21:18:23,2025-09-17T21:18:23,2025-09-18T01:18:23,2025-09-18T06:18:23,한진택배,TRK850532712,대구광역시 달성군 논공읍 논공로23길 14-0,2025-09-16T21:18:23,2025-09-16T21:18:23
match_000068,wish_029646,request_004492,10,user_004354,SH_006825,relief_item_000827,배송완료,2025-09-16T21:18:54,2025-09-19T21:18:54,2025-09-21T16:18:54,2025-09-21T19:18:54,CJ대한통운,TRK286382902,경기도 수원시 영통구 청명북로 81 (영통동),2025-09-16T21:18:54,2025-09-16T21:18:54
match_000069,wish_008374,request_000814,6,user_009773,SH_017479,relief_item_000449,취소,2025-09-16T21:18:37,2025-09-18T21:18:37,2025-09-20T18:18:37,2025-09-21T00:18:37,롯데택배,TRK997505976,경기도 안산시 단원구 도일로 26 (신길동),2025-09-16T21:18:37,2025-09-16T21:18:37
match_000070,wish_026206,request_004029,1,user_007384,SH_004508,relief_item_000403,매칭완료,2025-09-16T21:18:09,2025-09-18T21:18:09,2025-09-20T08:18:09,2025-09-20T11:18:09,한진택배,TRK775761375,"경상북도 경산시 대학로9길 8, 지하1층 (정평동, 정평현대타운)",2025-09-16T21:18:09,2025-09-16T21:18:09
match_000071,wish_027891,request_004377,1,user_009617,SH_009033,relief_item_000230,취소,2025-09-16T21:19:25,2025-09-18T21:19:25,2025-09-20T20:19:25,2025-09-21T01:19:25,한진택배,TRK491514453,경기도 광주시 초월읍 독고개길 14-24 (코아루햇빛마을아파트),2025-09-16T21:19:25,2025-09-16T21:19:25
match_000072,wish_024410,request_002561,1,user_002782,SH_000627,relief_item_000998,배송완료,2025-09-16T21:18:57,2025-09-17T21:18:57,2025-09-19T12:18:57,2025-09-19T17:18:57,CJ대한통운,TRK731178393,"부산광역시 강서구 과학산단2로20번길 5, 지사문화회관 (지사동)",2025-09-16T21:18:57,2025-09-16T21:18:57
match_000073,wish_025162,request_004112,1,user_002424,SH_021446,relief_item_000007,배송중,2025-09-16T21:18:46,2025-09-18T21:18:46,2025-09-19T14:18:46,2025-09-19T19:18:46,CJ대한통운,TRK105934302,"경상남도 거제시 옥포로 250, 옥현시장 (옥포동)",2025-09-16T21:18:46,2025-09-16T21:18:46
match_000074,wish_016741,request_001021,4,user_008078,SH_014738,relief_item_000111,검수완료,2025-09-16T21:18:56,2025-09-17T21:18:56,2025-09-19T14:18:56,2025-09-19T17:18:56,CJ대한통운,TRK266228210,"서울특별시 동작구 여의대방로 22 (신대방동, 우성아파트)",2025-09-16T21:18:56,2025-09-16T21:18:56
match_000075,wish_003212,request_008563,2,user_005226,SH_004289,relief_item_000770,검수완료,2025-09-16T21:19:02,2025-09-18T21:19:02,2025-09-20T11:19:02,2025-09-20T15:19:02,CJ대한통운,TRK971155962,충청남도 금산군 금산읍 약초로 18(낙원아파트),2025-09-16T21:19:02,2025-09-16T21:19:02
match_000076,wish_011447,request_001733,1,user_003301,SH_019922,relief_item_000241,검수완료,2025-09-16T21:19:33,2025-09-18T21:19:33,2025-09-19T20:19:33,2025-09-19T22:19:33,한진택배,TRK101935535,"부산광역시 금정구 중앙대로 2120 (청룡동, 협성엠파이어)",2025-09-16T21:19:33,2025-09-16T21:19:33
match_000077,wish_024626,request_008733,1,user_003325,SH_018979,relief_item_000834,취소,2025-09-16T21:18:22,2025-09-19T21:18:22,2025-09-21T14:18:22,2025-09-21T20:18:22,한진택배,TRK852057620,"제주특별자치도 제주시 중앙로26길 2(삼도이동, 동인스파월드빌)",2025-09-16T21:18:22,2025-09-16T21:18:22
match_000078,wish_002818,request_006432,14,user_001656,SH_008920,relief_item_000851,배송완료,2025-09-16T21:18:22,2025-09-18T21:18:22,2025-09-19T06:18:22,2025-09-19T11:18:22,우체국택배,TRK818114847,경상남도 통영시 평인일주로 75 (인평동),2025-09-16T21:18:22,2025-09-16T21:18:22
match_000079,wish_003437,request_001294,1,user_006643,SH_022578,relief_item_000330,취소,2025-09-16T21:18:43,2025-09-19T21:18:43,2025-09-20T21:18:43,2025-09-21T00:18:43,우체국택배,TRK927085740,,2025-09-16T21:18:43,2025-09-16T21:18:43
match_000080,wish_010543,request_002640,1,user_004331,SH_016486,relief_item_000503,배송완료,2025-09-16T21:17:58,2025-09-17T21:17:58,2025-09-18T08:17:58,2025-09-18T10:17:58,우체국택배,TRK325053460,서울특별시 성북구 보국문로30길 15 (정릉동),2025-09-16T21:17:58,2025-09-16T21:17:58
match_000081,wish_004204,request_004629,1,user_008398,SH_022485,relief_item_000139,배송완료,2025-09-16T21:19:45,2025-09-19T21:19:45,2025-09-20T09:19:45,2025-09-20T12:19:45,한진택배,TRK390557278,"서울특별시 서대문구 연희로 353, 스위스그랜드호텔 (홍은동)",2025-09-16T21:19:45,2025-09-16T21:19:45
match_000082,wish_010768,request_003225,1,user_003575,SH_017991,relief_item_000340,검수완료,2025-09-16T21:18:19,2025-09-19T21:18:19,2025-09-20T22:18:19,2025-09-21T02:18:19,CJ대한통운,TRK365289557,"인천광역시 미추홀구 매소홀로 68 (용현동, 용현2단지금호타운)",2025-09-16T21:18:19,2025-09-16T21:18:19
match_000083,wish_028096,request_001299,8,user_002345,SH_008628,relief_item_000746,취소,2025-09-16T21:19:48,2025-09-18T21:19:48,2025-09-19T22:19:48,2025-09-20T01:19:48,한진택배,TRK985472542,"대전광역시 대덕구 덕암로234번길 15 (덕암동, 덕암마을아파트)",2025-09-16T21:19:48,2025-09-16T21:19:48
match_000084,wish_016687,request_003152,5,user_002088,SH_013506,relief_item_000513,매칭완료,2025-09-16T21:19:36,2025-09-19T21:19:36,2025-09-20T17:19:36,2025-09-20T20:19:36,한진택배,TRK324245447,전북특별자치도 무주군 무주읍 신교로 49 (무주읍내리사랑으로부영아파트),2025-09-16T21:19:36,2025-09-16T21:19:36
