preference_id,user_id,item_category,preference_score,interaction_count,last_interaction,created_at,updated_at
pref_00000026,user_000010,daily,0.027,1,2025-09-08 15:09:00,2025-09-08 15:09:10.722889,2025-09-08 15:09:10.722890
pref_00000027,user_000010,education,0.0162,2,2025-09-08 15:09:00,2025-09-08 15:09:10.731950,2025-09-08 15:09:10.731951
pref_00000028,user_000010,medical,0.0216,1,2025-09-08 15:09:00,2025-09-08 15:09:10.740093,2025-09-08 15:09:10.740093
pref_00000029,user_000011,clothing,0.3927,26,2025-09-08 15:09:05,2025-09-08 15:09:10.775588,2025-09-08 15:09:10.775589
pref_00000030,user_000011,daily,0.0091,1,2025-09-08 15:09:05,2025-09-08 15:09:10.784694,2025-09-08 15:09:10.784695
pref_00000031,user_000011,medical,0.411,29,2025-09-08 15:09:05,2025-09-08 15:09:10.797655,2025-09-08 15:09:10.797655
pref_00000032,user_000011,other,0.0639,3,2025-09-08 15:09:05,2025-09-08 15:09:10.807037,2025-09-08 15:09:10.807038
pref_00000033,user_000011,education,0.0411,3,2025-09-08 15:09:05,2025-09-08 15:09:10.816194,2025-09-08 15:09:10.816194
pref_00000034,user_000011,shelter,0.0457,3,2025-09-08 15:09:05,2025-09-08 15:09:10.826056,2025-09-08 15:09:10.826057
pref_00000035,user_000011,hygiene,0.0365,2,2025-09-08 15:09:05,2025-09-08 15:09:10.835241,2025-09-08 15:09:10.835241
pref_00000036,user_000012,education,0.1132,2,2025-09-08 15:08:50,2025-09-08 15:09:10.845571,2025-09-08 15:09:10.845572
pref_00000037,user_000012,other,0.3208,8,2025-09-08 15:08:50,2025-09-08 15:09:10.848398,2025-09-08 15:09:10.848399
pref_00000038,user_000012,shelter,0.3585,4,2025-09-08 15:08:50,2025-09-08 15:09:10.853327,2025-09-08 15:09:10.853328
pref_00000039,user_000012,daily,0.1132,2,2025-09-08 15:08:50,2025-09-08 15:09:10.855786,2025-09-08 15:09:10.855787
pref_00000040,user_000012,clothing,0.0189,1,2025-09-08 15:08:50,2025-09-08 15:09:10.858336,2025-09-08 15:09:10.858336
pref_00000041,user_000012,hygiene,0.0755,1,2025-09-08 15:08:50,2025-09-08 15:09:10.860737,2025-09-08 15:09:10.860737
pref_00000042,user_000013,education,0.5,7,2025-09-08 15:08:54,2025-09-08 15:09:10.870086,2025-09-08 15:09:10.870087
pref_00000043,user_000013,food,0.3056,5,2025-09-08 15:08:54,2025-09-08 15:09:10.872145,2025-09-08 15:09:10.872145
pref_00000044,user_000013,hygiene,0.0556,1,2025-09-08 15:08:54,2025-09-08 15:09:10.874136,2025-09-08 15:09:10.874137
pref_00000045,user_000013,shelter,0.1389,2,2025-09-08 15:08:54,2025-09-08 15:09:10.876538,2025-09-08 15:09:10.876538
pref_00000046,user_000014,education,1.0,0,,2025-09-08 15:09:10.877866,2025-09-08 15:09:10.877867
pref_00000047,user_000015,other,0.1622,2,2025-09-08 15:08:44,2025-09-08 15:09:10.884905,2025-09-08 15:09:10.884906
pref_00000048,user_000015,education,0.6216,6,2025-09-08 15:08:44,2025-09-08 15:09:10.886462,2025-09-08 15:09:10.886463
pref_00000049,user_000015,daily,0.1622,2,2025-09-08 15:08:44,2025-09-08 15:09:10.888208,2025-09-08 15:09:10.888208
pref_00000050,user_000015,clothing,0.0541,1,2025-09-08 15:08:44,2025-09-08 15:09:10.889737,2025-09-08 15:09:10.889737
pref_00000051,user_000016,hygiene,0.1127,2,2025-09-08 15:09:03,2025-09-08 15:09:10.903477,2025-09-08 15:09:10.903478
pref_00000052,user_000016,daily,0.5352,16,2025-09-08 15:09:03,2025-09-08 15:09:10.906708,2025-09-08 15:09:10.906709
pref_00000053,user_000016,food,0.1549,3,2025-09-08 15:09:03,2025-09-08 15:09:10.909901,2025-09-08 15:09:10.909901
pref_00000054,user_000016,education,0.1268,2,2025-09-08 15:09:03,2025-09-08 15:09:10.913219,2025-09-08 15:09:10.913220
pref_00000055,user_000016,medical,0.0704,1,2025-09-08 15:09:03,2025-09-08 15:09:10.917268,2025-09-08 15:09:10.917269
pref_00000056,user_000017,daily,0.5,1,2025-09-08 15:08:51,2025-09-08 15:09:10.919923,2025-09-08 15:09:10.919924
pref_00000057,user_000017,education,0.5,1,2025-09-08 15:08:51,2025-09-08 15:09:10.920254,2025-09-08 15:09:10.920254
pref_00000058,user_000018,hygiene,0.6049,19,2025-09-08 15:09:03,2025-09-08 15:09:10.943334,2025-09-08 15:09:10.943336
pref_00000059,user_000018,shelter,0.1358,4,2025-09-08 15:09:03,2025-09-08 15:09:10.947659,2025-09-08 15:09:10.947660
pref_00000060,user_000018,other,0.0741,2,2025-09-08 15:09:03,2025-09-08 15:09:10.951499,2025-09-08 15:09:10.951500
pref_00000061,user_000018,education,0.0494,1,2025-09-08 15:09:03,2025-09-08 15:09:10.955533,2025-09-08 15:09:10.955534
pref_00000062,user_000018,daily,0.0617,1,2025-09-08 15:09:03,2025-09-08 15:09:10.959320,2025-09-08 15:09:10.959320
pref_00000063,user_000018,medical,0.0741,2,2025-09-08 15:09:03,2025-09-08 15:09:10.963525,2025-09-08 15:09:10.963525
pref_00000064,user_000019,hygiene,0.25,1,2025-09-08 15:08:05,2025-09-08 15:09:10.966437,2025-09-08 15:09:10.966437
pref_00000065,user_000019,other,0.5,1,2025-09-08 15:08:05,2025-09-08 15:09:10.966957,2025-09-08 15:09:10.966958
pref_00000066,user_000019,daily,0.25,1,2025-09-08 15:08:05,2025-09-08 15:09:10.967445,2025-09-08 15:09:10.967446
pref_00000067,user_000020,medical,0.0769,1,2025-09-08 15:08:07,2025-09-08 15:09:10.974655,2025-09-08 15:09:10.974657
pref_00000068,user_000020,hygiene,0.5385,2,2025-09-08 15:08:07,2025-09-08 15:09:10.975966,2025-09-08 15:09:10.975967
pref_00000069,user_000020,food,0.3846,1,2025-09-08 15:08:07,2025-09-08 15:09:10.977269,2025-09-08 15:09:10.977270
pref_00000070,user_000021,food,0.6016,21,2025-09-08 15:09:05,2025-09-08 15:09:11.001364,2025-09-08 15:09:11.001365
pref_00000071,user_000021,hygiene,0.0407,2,2025-09-08 15:09:05,2025-09-08 15:09:11.006821,2025-09-08 15:09:11.006823
pref_00000072,user_000021,medical,0.122,3,2025-09-08 15:09:05,2025-09-08 15:09:11.011800,2025-09-08 15:09:11.011802
pref_00000073,user_000021,shelter,0.1138,4,2025-09-08 15:09:05,2025-09-08 15:09:11.016616,2025-09-08 15:09:11.016618
pref_00000074,user_000021,daily,0.0813,3,2025-09-08 15:09:05,2025-09-08 15:09:11.021392,2025-09-08 15:09:11.021393
pref_00000075,user_000021,education,0.0407,1,2025-09-08 15:09:05,2025-09-08 15:09:11.026126,2025-09-08 15:09:11.026127
pref_00000076,user_000022,education,0.3333,2,2025-09-08 15:08:53,2025-09-08 15:09:11.030668,2025-09-08 15:09:11.030669
pref_00000077,user_000022,hygiene,0.2778,1,2025-09-08 15:08:53,2025-09-08 15:09:11.031530,2025-09-08 15:09:11.031530
pref_00000078,user_000022,other,0.0556,1,2025-09-08 15:08:53,2025-09-08 15:09:11.032364,2025-09-08 15:09:11.032364
pref_00000079,user_000022,daily,0.2222,1,2025-09-08 15:08:53,2025-09-08 15:09:11.033243,2025-09-08 15:09:11.033243
pref_00000080,user_000022,food,0.1111,1,2025-09-08 15:08:53,2025-09-08 15:09:11.034120,2025-09-08 15:09:11.034120
pref_00000081,user_000023,daily,1.0,1,2025-09-08 15:08:10,2025-09-08 15:09:11.036099,2025-09-08 15:09:11.036100
pref_00000082,user_000024,medical,0.259,14,2025-09-08 15:09:01,2025-09-08 15:09:11.068245,2025-09-08 15:09:11.068246
pref_00000083,user_000024,daily,0.2831,15,2025-09-08 15:09:01,2025-09-08 15:09:11.084425,2025-09-08 15:09:11.084426
pref_00000084,user_000024,education,0.0542,2,2025-09-08 15:09:01,2025-09-08 15:09:11.100422,2025-09-08 15:09:11.100423
pref_00000085,user_000024,shelter,0.0542,4,2025-09-08 15:09:01,2025-09-08 15:09:11.113976,2025-09-08 15:09:11.113978
pref_00000086,user_000024,clothing,0.2169,11,2025-09-08 15:09:01,2025-09-08 15:09:11.122991,2025-09-08 15:09:11.122992
pref_00000087,user_000024,hygiene,0.0904,5,2025-09-08 15:09:01,2025-09-08 15:09:11.130235,2025-09-08 15:09:11.130235
pref_00000088,user_000024,food,0.0301,1,2025-09-08 15:09:01,2025-09-08 15:09:11.137450,2025-09-08 15:09:11.137450
pref_00000089,user_000024,other,0.012,1,2025-09-08 15:09:01,2025-09-08 15:09:11.144713,2025-09-08 15:09:11.144713
pref_00000090,user_000025,medical,0.8182,2,2025-09-08 15:08:32,2025-09-08 15:09:11.147673,2025-09-08 15:09:11.147674
pref_00000091,user_000025,hygiene,0.1818,1,2025-09-08 15:08:32,2025-09-08 15:09:11.148118,2025-09-08 15:09:11.148119
pref_00000092,user_000026,hygiene,0.2903,6,2025-09-08 15:08:56,2025-09-08 15:09:11.159348,2025-09-08 15:09:11.159349
pref_00000093,user_000026,food,0.5484,7,2025-09-08 15:08:56,2025-09-08 15:09:11.163566,2025-09-08 15:09:11.163567
pref_00000094,user_000026,clothing,0.1613,1,2025-09-08 15:08:56,2025-09-08 15:09:11.167832,2025-09-08 15:09:11.167833
pref_00000095,user_000027,food,1.0,1,2025-09-08 15:08:41,2025-09-08 15:09:11.169934,2025-09-08 15:09:11.169934
pref_00000096,user_000028,food,0.2449,5,2025-09-08 15:09:00,2025-09-08 15:09:11.181922,2025-09-08 15:09:11.181922
pref_00000097,user_000028,education,0.4694,10,2025-09-08 15:09:00,2025-09-08 15:09:11.185283,2025-09-08 15:09:11.185283
pref_00000098,user_000028,medical,0.102,1,2025-09-08 15:09:00,2025-09-08 15:09:11.188117,2025-09-08 15:09:11.188118
pref_00000099,user_000028,clothing,0.0204,1,2025-09-08 15:09:00,2025-09-08 15:09:11.190964,2025-09-08 15:09:11.190965
pref_00000100,user_000028,shelter,0.102,1,2025-09-08 15:09:00,2025-09-08 15:09:11.193815,2025-09-08 15:09:11.193816
pref_00000101,user_000028,daily,0.0204,1,2025-09-08 15:09:00,2025-09-08 15:09:11.197127,2025-09-08 15:09:11.197128
pref_00000102,user_000028,hygiene,0.0204,1,2025-09-08 15:09:00,2025-09-08 15:09:11.200120,2025-09-08 15:09:11.200121
pref_00000103,user_000028,other,0.0204,1,2025-09-08 15:09:00,2025-09-08 15:09:11.202926,2025-09-08 15:09:11.202926
pref_00000104,user_000029,education,0.44,6,2025-09-08 15:08:59,2025-09-08 15:09:11.210774,2025-09-08 15:09:11.210775
pref_00000105,user_000029,other,0.08,1,2025-09-08 15:08:59,2025-09-08 15:09:11.212279,2025-09-08 15:09:11.212279
pref_00000106,user_000029,medical,0.08,1,2025-09-08 15:08:59,2025-09-08 15:09:11.213996,2025-09-08 15:09:11.213997
pref_00000107,user_000029,daily,0.24,2,2025-09-08 15:08:59,2025-09-08 15:09:11.215525,2025-09-08 15:09:11.215525
pref_00000108,user_000029,hygiene,0.16,1,2025-09-08 15:08:59,2025-09-08 15:09:11.217128,2025-09-08 15:09:11.217128
pref_00000109,user_000030,shelter,0.2941,5,2025-09-08 15:08:57,2025-09-08 15:09:11.226293,2025-09-08 15:09:11.226294
pref_00000110,user_000030,education,0.6275,9,2025-09-08 15:08:57,2025-09-08 15:09:11.228345,2025-09-08 15:09:11.228346
pref_00000111,user_000030,hygiene,0.0784,1,2025-09-08 15:08:57,2025-09-08 15:09:11.230669,2025-09-08 15:09:11.230670
pref_00000112,user_000031,shelter,0.4545,2,2025-09-08 15:08:34,2025-09-08 15:09:11.234058,2025-09-08 15:09:11.234058
pref_00000113,user_000031,other,0.5455,2,2025-09-08 15:08:34,2025-09-08 15:09:11.234690,2025-09-08 15:09:11.234691
pref_00000114,user_000032,clothing,0.0426,1,2025-09-08 15:09:02,2025-09-08 15:09:11.243157,2025-09-08 15:09:11.243157
pref_00000115,user_000032,daily,0.6596,9,2025-09-08 15:09:02,2025-09-08 15:09:11.245425,2025-09-08 15:09:11.245426
pref_00000116,user_000032,hygiene,0.0851,1,2025-09-08 15:09:02,2025-09-08 15:09:11.247385,2025-09-08 15:09:11.247385
pref_00000117,user_000032,shelter,0.0426,1,2025-09-08 15:09:02,2025-09-08 15:09:11.251919,2025-09-08 15:09:11.251920
pref_00000118,user_000032,other,0.0851,1,2025-09-08 15:09:02,2025-09-08 15:09:11.256136,2025-09-08 15:09:11.256137
pref_00000119,user_000032,medical,0.0851,1,2025-09-08 15:09:02,2025-09-08 15:09:11.260749,2025-09-08 15:09:11.260750
pref_00000120,user_000033,medical,0.3125,3,2025-09-08 15:09:04,2025-09-08 15:09:11.273596,2025-09-08 15:09:11.273597
pref_00000121,user_000033,daily,0.3438,4,2025-09-08 15:09:04,2025-09-08 15:09:11.275515,2025-09-08 15:09:11.275516
pref_00000122,user_000033,other,0.2188,2,2025-09-08 15:09:04,2025-09-08 15:09:11.277327,2025-09-08 15:09:11.277328
pref_00000123,user_000033,food,0.0625,1,2025-09-08 15:09:04,2025-09-08 15:09:11.278947,2025-09-08 15:09:11.278947
pref_00000124,user_000033,shelter,0.0312,1,2025-09-08 15:09:04,2025-09-08 15:09:11.280575,2025-09-08 15:09:11.280576
pref_00000125,user_000033,hygiene,0.0312,1,2025-09-08 15:09:04,2025-09-08 15:09:11.282214,2025-09-08 15:09:11.282215
pref_00000126,user_000034,education,0.6667,1,2025-09-08 15:09:03,2025-09-08 15:09:11.284588,2025-09-08 15:09:11.284588
pref_00000127,user_000034,daily,0.3333,1,2025-09-08 15:09:03,2025-09-08 15:09:11.284895,2025-09-08 15:09:11.284896
pref_00000128,user_000035,education,0.5,1,2025-09-08 15:07:29,2025-09-08 15:09:11.287345,2025-09-08 15:09:11.287346
pref_00000129,user_000035,hygiene,0.5,1,2025-09-08 15:07:29,2025-09-08 15:09:11.287798,2025-09-08 15:09:11.287798
pref_00000130,user_000036,shelter,0.2857,1,2025-09-08 15:08:27,2025-09-08 15:09:11.290776,2025-09-08 15:09:11.290776
pref_00000131,user_000036,medical,0.1429,1,2025-09-08 15:08:27,2025-09-08 15:09:11.291265,2025-09-08 15:09:11.291265
pref_00000132,user_000036,hygiene,0.5714,1,2025-09-08 15:08:27,2025-09-08 15:09:11.291706,2025-09-08 15:09:11.291706
pref_00000133,user_000037,food,0.3158,12,2025-09-08 15:09:02,2025-09-08 15:09:11.318477,2025-09-08 15:09:11.318478
pref_00000134,user_000037,clothing,0.3609,12,2025-09-08 15:09:02,2025-09-08 15:09:11.325184,2025-09-08 15:09:11.325185
pref_00000135,user_000037,other,0.1353,5,2025-09-08 15:09:02,2025-09-08 15:09:11.330788,2025-09-08 15:09:11.330788
pref_00000136,user_000037,medical,0.015,2,2025-09-08 15:09:02,2025-09-08 15:09:11.335812,2025-09-08 15:09:11.335812
pref_00000137,user_000037,hygiene,0.0752,3,2025-09-08 15:09:02,2025-09-08 15:09:11.341262,2025-09-08 15:09:11.341263
pref_00000138,user_000037,education,0.0075,1,2025-09-08 15:09:02,2025-09-08 15:09:11.346246,2025-09-08 15:09:11.346246
pref_00000139,user_000037,shelter,0.0526,2,2025-09-08 15:09:02,2025-09-08 15:09:11.351628,2025-09-08 15:09:11.351629
pref_00000140,user_000037,daily,0.0376,1,2025-09-08 15:09:02,2025-09-08 15:09:11.362314,2025-09-08 15:09:11.362316
pref_00000141,user_000038,education,0.5556,1,2025-09-08 15:06:32,2025-09-08 15:09:11.367016,2025-09-08 15:09:11.367017
pref_00000142,user_000038,shelter,0.4444,1,2025-09-08 15:06:32,2025-09-08 15:09:11.367713,2025-09-08 15:09:11.367715
pref_00000143,user_000039,daily,0.0556,2,2025-09-08 15:09:04,2025-09-08 15:09:11.395105,2025-09-08 15:09:11.395106
pref_00000144,user_000039,education,0.5952,24,2025-09-08 15:09:04,2025-09-08 15:09:11.406657,2025-09-08 15:09:11.406658
pref_00000145,user_000039,hygiene,0.1905,7,2025-09-08 15:09:04,2025-09-08 15:09:11.412364,2025-09-08 15:09:11.412365
pref_00000146,user_000039,other,0.0873,3,2025-09-08 15:09:04,2025-09-08 15:09:11.421998,2025-09-08 15:09:11.422000
pref_00000147,user_000039,shelter,0.0317,1,2025-09-08 15:09:04,2025-09-08 15:09:11.433810,2025-09-08 15:09:11.433811
pref_00000148,user_000039,food,0.0397,1,2025-09-08 15:09:04,2025-09-08 15:09:11.439271,2025-09-08 15:09:11.439272
pref_00000149,user_000040,clothing,0.7143,1,2025-09-08 15:08:18,2025-09-08 15:09:11.441680,2025-09-08 15:09:11.441681
pref_00000150,user_000040,shelter,0.2857,1,2025-09-08 15:08:18,2025-09-08 15:09:11.442024,2025-09-08 15:09:11.442024
pref_00000151,user_000041,education,0.05,1,2025-09-08 15:08:47,2025-09-08 15:09:11.447044,2025-09-08 15:09:11.447044
pref_00000152,user_000041,hygiene,0.1,1,2025-09-08 15:08:47,2025-09-08 15:09:11.448461,2025-09-08 15:09:11.448461
pref_00000153,user_000041,medical,0.25,1,2025-09-08 15:08:47,2025-09-08 15:09:11.449576,2025-09-08 15:09:11.449576
pref_00000154,user_000041,food,0.35,3,2025-09-08 15:08:47,2025-09-08 15:09:11.450634,2025-09-08 15:09:11.450635
pref_00000155,user_000041,shelter,0.25,1,2025-09-08 15:08:47,2025-09-08 15:09:11.451633,2025-09-08 15:09:11.451633
pref_00000156,user_000042,food,0.7407,4,2025-09-08 15:08:14,2025-09-08 15:09:11.456530,2025-09-08 15:09:11.456531
pref_00000157,user_000042,other,0.2593,3,2025-09-08 15:08:14,2025-09-08 15:09:11.457565,2025-09-08 15:09:11.457565
pref_00000158,user_000043,other,0.0417,1,2025-09-08 15:08:57,2025-09-08 15:09:11.463599,2025-09-08 15:09:11.463600
pref_00000159,user_000043,daily,0.7917,7,2025-09-08 15:08:57,2025-09-08 15:09:11.464866,2025-09-08 15:09:11.464866
pref_00000160,user_000043,education,0.1667,1,2025-09-08 15:08:57,2025-09-08 15:09:11.466100,2025-09-08 15:09:11.466100
pref_00000161,user_000044,shelter,0.4048,15,2025-09-08 15:09:05,2025-09-08 15:09:11.494342,2025-09-08 15:09:11.494343
pref_00000162,user_000044,clothing,0.4444,16,2025-09-08 15:09:05,2025-09-08 15:09:11.499175,2025-09-08 15:09:11.499176
pref_00000163,user_000044,hygiene,0.0159,1,2025-09-08 15:09:05,2025-09-08 15:09:11.504628,2025-09-08 15:09:11.504629
pref_00000164,user_000044,medical,0.0079,1,2025-09-08 15:09:05,2025-09-08 15:09:11.509651,2025-09-08 15:09:11.509651
pref_00000165,user_000044,other,0.1111,3,2025-09-08 15:09:05,2025-09-08 15:09:11.515015,2025-09-08 15:09:11.515016
pref_00000166,user_000044,daily,0.0159,1,2025-09-08 15:09:05,2025-09-08 15:09:11.519901,2025-09-08 15:09:11.519901
pref_00000167,user_000045,other,0.7297,8,2025-09-08 15:09:03,2025-09-08 15:09:11.527107,2025-09-08 15:09:11.527107
pref_00000168,user_000045,medical,0.1622,2,2025-09-08 15:09:03,2025-09-08 15:09:11.529101,2025-09-08 15:09:11.529102
pref_00000169,user_000045,hygiene,0.1081,1,2025-09-08 15:09:03,2025-09-08 15:09:11.530633,2025-09-08 15:09:11.530633
pref_00000170,user_000046,hygiene,1.0,2,2025-09-08 15:08:58,2025-09-08 15:09:11.533186,2025-09-08 15:09:11.533187
pref_00000171,user_000047,medical,0.7143,1,2025-09-08 15:08:50,2025-09-08 15:09:11.535519,2025-09-08 15:09:11.535520
pref_00000172,user_000047,shelter,0.2857,1,2025-09-08 15:08:50,2025-09-08 15:09:11.535856,2025-09-08 15:09:11.535857
pref_00000173,user_000048,shelter,1.0,1,2025-09-08 15:08:18,2025-09-08 15:09:11.537712,2025-09-08 15:09:11.537712
pref_00000174,user_000049,daily,0.5455,2,2025-09-08 15:08:06,2025-09-08 15:09:11.542665,2025-09-08 15:09:11.542666
pref_00000175,user_000049,other,0.4545,1,2025-09-08 15:08:06,2025-09-08 15:09:11.543644,2025-09-08 15:09:11.543645
pref_00000176,user_000050,other,0.2857,1,2025-09-08 15:08:02,2025-09-08 15:09:11.549310,2025-09-08 15:09:11.549311
pref_00000177,user_000050,daily,0.3571,1,2025-09-08 15:08:02,2025-09-08 15:09:11.550278,2025-09-08 15:09:11.550278
pref_00000178,user_000050,clothing,0.3571,1,2025-09-08 15:08:02,2025-09-08 15:09:11.551262,2025-09-08 15:09:11.551262
pref_00000179,user_000051,education,0.2235,5,2025-09-08 15:09:03,2025-09-08 15:09:11.568711,2025-09-08 15:09:11.568712
pref_00000180,user_000051,hygiene,0.1412,5,2025-09-08 15:09:03,2025-09-08 15:09:11.572677,2025-09-08 15:09:11.572677
pref_00000181,user_000051,medical,0.0235,2,2025-09-08 15:09:03,2025-09-08 15:09:11.576276,2025-09-08 15:09:11.576276
pref_00000182,user_000051,other,0.4706,10,2025-09-08 15:09:03,2025-09-08 15:09:11.579761,2025-09-08 15:09:11.579762
pref_00000183,user_000051,daily,0.0706,2,2025-09-08 15:09:03,2025-09-08 15:09:11.583865,2025-09-08 15:09:11.583866
pref_00000184,user_000051,food,0.0588,1,2025-09-08 15:09:03,2025-09-08 15:09:11.587443,2025-09-08 15:09:11.587444
pref_00000185,user_000051,shelter,0.0118,1,2025-09-08 15:09:03,2025-09-08 15:09:11.590918,2025-09-08 15:09:11.590919
pref_00000186,user_000052,clothing,0.25,1,2025-09-08 15:08:37,2025-09-08 15:09:11.594309,2025-09-08 15:09:11.594310
pref_00000187,user_000052,education,0.75,2,2025-09-08 15:08:37,2025-09-08 15:09:11.594792,2025-09-08 15:09:11.594793
pref_00000188,user_000053,other,0.8,1,2025-09-08 15:09:02,2025-09-08 15:09:11.597267,2025-09-08 15:09:11.597268
pref_00000189,user_000053,shelter,0.2,1,2025-09-08 15:09:02,2025-09-08 15:09:11.597649,2025-09-08 15:09:11.597650
pref_00000190,user_000054,clothing,1.0,2,2025-09-08 15:07:57,2025-09-08 15:09:11.600044,2025-09-08 15:09:11.600045
pref_00000191,user_000055,clothing,1.0,1,2025-09-08 15:07:49,2025-09-08 15:09:11.601823,2025-09-08 15:09:11.601824
pref_00000192,user_000056,daily,0.3145,0,,2025-09-08 15:09:11.603298,2025-09-08 15:09:11.603299
pref_00000193,user_000056,education,0.6855,0,,2025-09-08 15:09:11.603306,2025-09-08 15:09:11.603306
pref_00000194,user_000057,daily,0.5556,1,2025-09-08 15:08:52,2025-09-08 15:09:11.605769,2025-09-08 15:09:11.605769
pref_00000195,user_000057,other,0.4444,1,2025-09-08 15:08:52,2025-09-08 15:09:11.606132,2025-09-08 15:09:11.606133
pref_00000196,user_000058,food,0.5,1,2025-09-08 15:08:15,2025-09-08 15:09:11.610363,2025-09-08 15:09:11.610364
pref_00000197,user_000058,daily,0.5,1,2025-09-08 15:08:15,2025-09-08 15:09:11.611059,2025-09-08 15:09:11.611060
pref_00000198,user_000059,medical,0.6,2,2025-09-08 15:08:57,2025-09-08 15:09:11.617660,2025-09-08 15:09:11.617661
pref_00000199,user_000059,clothing,0.2,1,2025-09-08 15:08:57,2025-09-08 15:09:11.619253,2025-09-08 15:09:11.619254
pref_00000200,user_000059,food,0.2,1,2025-09-08 15:08:57,2025-09-08 15:09:11.625419,2025-09-08 15:09:11.625421
pref_00000201,user_000060,daily,0.7556,48,2025-09-08 15:09:05,2025-09-08 15:09:11.693655,2025-09-08 15:09:11.693657
pref_00000202,user_000060,shelter,0.0556,3,2025-09-08 15:09:05,2025-09-08 15:09:11.707487,2025-09-08 15:09:11.707491
pref_00000203,user_000060,medical,0.0389,2,2025-09-08 15:09:05,2025-09-08 15:09:11.718555,2025-09-08 15:09:11.718556
pref_00000204,user_000060,hygiene,0.0778,8,2025-09-08 15:09:05,2025-09-08 15:09:11.734340,2025-09-08 15:09:11.734358
pref_00000205,user_000060,education,0.0556,3,2025-09-08 15:09:05,2025-09-08 15:09:11.747460,2025-09-08 15:09:11.747463
pref_00000206,user_000060,food,0.0111,1,2025-09-08 15:09:05,2025-09-08 15:09:11.759350,2025-09-08 15:09:11.759350
pref_00000207,user_000060,other,0.0056,1,2025-09-08 15:09:05,2025-09-08 15:09:11.779010,2025-09-08 15:09:11.779011
pref_00000208,user_000061,clothing,1.0,12,2025-09-08 15:09:05,2025-09-08 15:09:11.790411,2025-09-08 15:09:11.790412
pref_00000209,user_000062,education,0.8,1,2025-09-08 15:07:19,2025-09-08 15:09:11.792767,2025-09-08 15:09:11.792767
