similarity_id,user_id_1,user_id_2,similarity_score,similarity_type,feature_vector_1,feature_vector_2,calculated_at,is_valid,created_at
sim_00000024,user_000722,user_000643,0.4073,cosine,"0.0,0.0,0.5641,0.0513,0.1026,0.2308,0.0,0.0513","0.0435,0.0,0.0,0.0,0.2174,0.5217,0.0,0.2174",2025-09-08 15:09:30.757357,True,2025-09-08 15:09:30.757357
sim_00000025,user_000722,user_000800,0.9065,cosine,"0.0,0.0,0.5641,0.0513,0.1026,0.2308,0.0,0.0513","0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0",2025-09-08 15:09:30.757380,True,2025-09-08 15:09:30.757380
sim_00000026,user_000722,user_000199,0.3087,cosine,"0.0,0.0,0.5641,0.0513,0.1026,0.2308,0.0,0.0513","0.0619,0.0238,0.0286,0.0714,0.0095,0.2762,0.0429,0.4857",2025-09-08 15:09:30.757393,True,2025-09-08 15:09:30.757398
sim_00000027,user_000722,user_000474,0.3846,cosine,"0.0,0.0,0.5641,0.0513,0.1026,0.2308,0.0,0.0513","0.0,0.0,0.18,0.0,0.2,0.02,0.0,0.6",2025-09-08 15:09:30.757409,True,2025-09-08 15:09:30.757410
sim_00000028,user_000722,user_000323,0.1526,cosine,"0.0,0.0,0.5641,0.0513,0.1026,0.2308,0.0,0.0513","0.2353,0.6471,0.1176,0.0,0.0,0.0,0.0,0.0",2025-09-08 15:09:30.757421,True,2025-09-08 15:09:30.757421
sim_00000029,user_000722,user_000918,0.641,cosine,"0.0,0.0,0.5641,0.0513,0.1026,0.2308,0.0,0.0513","0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0",2025-09-08 15:09:30.757433,True,2025-09-08 15:09:30.757433
sim_00000030,user_000722,user_000021,0.2391,cosine,"0.0,0.0,0.5641,0.0513,0.1026,0.2308,0.0,0.0513","0.6016,0.0,0.122,0.0813,0.1138,0.0407,0.0407,0.0",2025-09-08 15:09:30.757445,True,2025-09-08 15:09:30.757445
sim_00000031,user_000722,user_000720,0.5633,cosine,"0.0,0.0,0.5641,0.0513,0.1026,0.2308,0.0,0.0513","0.1667,0.0,0.1667,0.0,0.0,0.6667,0.0,0.0",2025-09-08 15:09:30.757456,True,2025-09-08 15:09:30.757456
sim_00000032,user_000722,user_000726,0.2218,cosine,"0.0,0.0,0.5641,0.0513,0.1026,0.2308,0.0,0.0513","0.1583,0.0,0.0583,0.2333,0.0417,0.0667,0.3833,0.0583",2025-09-08 15:09:30.757468,True,2025-09-08 15:09:30.757468
sim_00000033,user_000722,user_000732,0.135,cosine,"0.0,0.0,0.5641,0.0513,0.1026,0.2308,0.0,0.0513","0.6562,0.0,0.0,0.0,0.0,0.25,0.0625,0.0312",2025-09-08 15:09:30.757493,True,2025-09-08 15:09:30.757493
sim_00000034,user_000722,user_000445,0.641,cosine,"0.0,0.0,0.5641,0.0513,0.1026,0.2308,0.0,0.0513","0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0",2025-09-08 15:09:30.757504,True,2025-09-08 15:09:30.757504
sim_00000035,user_000722,user_000518,0.9065,cosine,"0.0,0.0,0.5641,0.0513,0.1026,0.2308,0.0,0.0513","0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0",2025-09-08 15:09:30.757516,True,2025-09-08 15:09:30.757516
sim_00000036,user_000722,user_000899,0.8416,cosine,"0.0,0.0,0.5641,0.0513,0.1026,0.2308,0.0,0.0513","0.2857,0.0,0.7143,0.0,0.0,0.0,0.0,0.0",2025-09-08 15:09:30.757527,True,2025-09-08 15:09:30.757528
sim_00000037,user_000722,user_000196,0.4804,cosine,"0.0,0.0,0.5641,0.0513,0.1026,0.2308,0.0,0.0513","0.6154,0.0,0.3846,0.0,0.0,0.0,0.0,0.0",2025-09-08 15:09:30.757539,True,2025-09-08 15:09:30.757539
sim_00000038,user_000722,user_000857,0.1599,cosine,"0.0,0.0,0.5641,0.0513,0.1026,0.2308,0.0,0.0513","0.2,0.0,0.0,0.0,0.8,0.0,0.0,0.0",2025-09-08 15:09:30.757550,True,2025-09-08 15:09:30.757550
sim_00000039,user_000722,user_000852,0.1255,cosine,"0.0,0.0,0.5641,0.0513,0.1026,0.2308,0.0,0.0513","0.2105,0.0,0.0,0.3684,0.2105,0.0,0.2105,0.0",2025-09-08 15:09:30.757585,True,2025-09-08 15:09:30.757585
sim_00000040,user_000722,user_000426,0.3727,cosine,"0.0,0.0,0.5641,0.0513,0.1026,0.2308,0.0,0.0513","0.1429,0.0,0.0,0.0,0.0,0.7143,0.0,0.1429",2025-09-08 15:09:30.757596,True,2025-09-08 15:09:30.757596
sim_00000041,user_000722,user_000709,0.8637,cosine,"0.0,0.0,0.5641,0.0513,0.1026,0.2308,0.0,0.0513","0.1935,0.0,0.3548,0.1613,0.129,0.1613,0.0,0.0",2025-09-08 15:09:30.757621,True,2025-09-08 15:09:30.757622
sim_00000042,user_000722,user_000996,0.4713,cosine,"0.0,0.0,0.5641,0.0513,0.1026,0.2308,0.0,0.0513","0.0847,0.0,0.1525,0.0678,0.5254,0.0847,0.0,0.0847",2025-09-08 15:09:30.757640,True,2025-09-08 15:09:30.757640
sim_00000043,user_000722,user_000992,0.9168,cosine,"0.0,0.0,0.5641,0.0513,0.1026,0.2308,0.0,0.0513","0.0,0.0,0.9155,0.0,0.0749,0.0,0.0096,0.0",2025-09-08 15:09:30.757651,True,2025-09-08 15:09:30.757651
sim_00000044,user_000722,user_000093,0.3596,cosine,"0.0,0.0,0.5641,0.0513,0.1026,0.2308,0.0,0.0513","0.093,0.0,0.0233,0.3721,0.0,0.4186,0.093,0.0",2025-09-08 15:09:30.757663,True,2025-09-08 15:09:30.757663
sim_00000045,user_000722,user_000987,0.4005,cosine,"0.0,0.0,0.5641,0.0513,0.1026,0.2308,0.0,0.0513","0.1429,0.0,0.1429,0.3571,0.3571,0.0,0.0,0.0",2025-09-08 15:09:30.757674,True,2025-09-08 15:09:30.757674
sim_00000046,user_000722,user_000105,0.61,cosine,"0.0,0.0,0.5641,0.0513,0.1026,0.2308,0.0,0.0513","0.0,0.1111,0.2222,0.0,0.0,0.3333,0.3333,0.0",2025-09-08 15:09:30.757692,True,2025-09-08 15:09:30.757692
sim_00000047,user_000722,user_000901,0.412,cosine,"0.0,0.0,0.5641,0.0513,0.1026,0.2308,0.0,0.0513","0.0,0.0,0.0909,0.2727,0.4091,0.0909,0.0455,0.0909",2025-09-08 15:09:30.757703,True,2025-09-08 15:09:30.757703
sim_00000048,user_000722,user_000241,0.1649,cosine,"0.0,0.0,0.5641,0.0513,0.1026,0.2308,0.0,0.0513","0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0",2025-09-08 15:09:30.757714,True,2025-09-08 15:09:30.757714
sim_00000049,user_000722,user_000682,0.1649,cosine,"0.0,0.0,0.5641,0.0513,0.1026,0.2308,0.0,0.0513","0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0",2025-09-08 15:09:30.757731,True,2025-09-08 15:09:30.757731
sim_00000050,user_000722,user_000772,0.6815,cosine,"0.0,0.0,0.5641,0.0513,0.1026,0.2308,0.0,0.0513","0.4054,0.0,0.4595,0.1351,0.0,0.0,0.0,0.0",2025-09-08 15:09:30.757748,True,2025-09-08 15:09:30.757749
sim_00000051,user_000722,user_000707,0.8039,cosine,"0.0,0.0,0.5641,0.0513,0.1026,0.2308,0.0,0.0513","0.0,0.0,0.3333,0.0,0.0,0.5,0.0,0.1667",2025-09-08 15:09:30.757760,True,2025-09-08 15:09:30.757760
sim_00000052,user_000722,user_000924,0.9356,cosine,"0.0,0.0,0.5641,0.0513,0.1026,0.2308,0.0,0.0513","0.0,0.0073,0.6934,0.0146,0.0949,0.0292,0.0438,0.1168",2025-09-08 15:09:30.757772,True,2025-09-08 15:09:30.757772
sim_00000053,user_000722,user_000159,0.9093,cosine,"0.0,0.0,0.5641,0.0513,0.1026,0.2308,0.0,0.0513","0.0,0.0,0.5132,0.0526,0.2895,0.0658,0.0526,0.0263",2025-09-08 15:09:30.757801,True,2025-09-08 15:09:30.757801
sim_00000054,user_000722,user_000522,0.9177,cosine,"0.0,0.0,0.5641,0.0513,0.1026,0.2308,0.0,0.0513","0.0227,0.0,0.4318,0.1818,0.2273,0.1364,0.0,0.0",2025-09-08 15:09:30.757813,True,2025-09-08 15:09:30.757813
sim_00000055,user_000722,user_000367,0.1649,cosine,"0.0,0.0,0.5641,0.0513,0.1026,0.2308,0.0,0.0513","0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0",2025-09-08 15:09:30.757830,True,2025-09-08 15:09:30.757830
sim_00000056,user_000722,user_000547,0.2155,cosine,"0.0,0.0,0.5641,0.0513,0.1026,0.2308,0.0,0.0513","0.2903,0.1935,0.0,0.1935,0.129,0.1613,0.0323,0.0",2025-09-08 15:09:30.757842,True,2025-09-08 15:09:30.757842
sim_00000057,user_000722,user_000320,0.125,cosine,"0.0,0.0,0.5641,0.0513,0.1026,0.2308,0.0,0.0513","0.0,0.25,0.0,0.0,0.2083,0.0,0.0,0.5417",2025-09-08 15:09:30.757854,True,2025-09-08 15:09:30.757854
sim_00000058,user_000722,user_000596,0.3709,cosine,"0.0,0.0,0.5641,0.0513,0.1026,0.2308,0.0,0.0513","0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0",2025-09-08 15:09:30.757865,True,2025-09-08 15:09:30.757865
sim_00000059,user_000722,user_000080,0.27,cosine,"0.0,0.0,0.5641,0.0513,0.1026,0.2308,0.0,0.0513","0.1032,0.1613,0.0968,0.0387,0.0129,0.0194,0.1355,0.4323",2025-09-08 15:09:30.757895,True,2025-09-08 15:09:30.757895
sim_00000060,user_000722,user_000752,0.3709,cosine,"0.0,0.0,0.5641,0.0513,0.1026,0.2308,0.0,0.0513","0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0",2025-09-08 15:09:30.757906,True,2025-09-08 15:09:30.757906
sim_00000061,user_000722,user_000049,0.1161,cosine,"0.0,0.0,0.5641,0.0513,0.1026,0.2308,0.0,0.0513","0.0,0.0,0.0,0.5455,0.0,0.0,0.0,0.4545",2025-09-08 15:09:30.757918,True,2025-09-08 15:09:30.757919
sim_00000062,user_000722,user_000770,0.1649,cosine,"0.0,0.0,0.5641,0.0513,0.1026,0.2308,0.0,0.0513","0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0",2025-09-08 15:09:30.757929,True,2025-09-08 15:09:30.757930
sim_00000063,user_000722,user_000540,0.1377,cosine,"0.0,0.0,0.5641,0.0513,0.1026,0.2308,0.0,0.0513","0.0,0.7143,0.0,0.0,0.0,0.2857,0.0,0.0",2025-09-08 15:09:30.757958,True,2025-09-08 15:09:30.757958
sim_00000064,user_000722,user_000640,0.1054,cosine,"0.0,0.0,0.5641,0.0513,0.1026,0.2308,0.0,0.0513","0.1628,0.0,0.0,0.2326,0.0,0.0233,0.2791,0.3023",2025-09-08 15:09:30.757971,True,2025-09-08 15:09:30.757971
sim_00000065,user_000722,user_000119,0.1321,cosine,"0.0,0.0,0.5641,0.0513,0.1026,0.2308,0.0,0.0513","0.0,0.6667,0.0,0.0,0.0667,0.2222,0.0444,0.0",2025-09-08 15:09:30.757982,True,2025-09-08 15:09:30.757982
sim_00000066,user_000722,user_000362,0.1823,cosine,"0.0,0.0,0.5641,0.0513,0.1026,0.2308,0.0,0.0513","0.2857,0.1964,0.0714,0.0179,0.0179,0.0,0.2321,0.1786",2025-09-08 15:09:30.757995,True,2025-09-08 15:09:30.757995
sim_00000067,user_000722,user_000836,0.1412,cosine,"0.0,0.0,0.5641,0.0513,0.1026,0.2308,0.0,0.0513","0.0727,0.0091,0.0,0.0909,0.1,0.0455,0.0364,0.6455",2025-09-08 15:09:30.758007,True,2025-09-08 15:09:30.758007
sim_00000068,user_000722,user_000029,0.294,cosine,"0.0,0.0,0.5641,0.0513,0.1026,0.2308,0.0,0.0513","0.0,0.0,0.08,0.24,0.0,0.16,0.44,0.08",2025-09-08 15:09:30.758019,True,2025-09-08 15:09:30.758019
sim_00000069,user_000599,user_000513,0.5013,cosine,"0.0,0.2067,0.2733,0.04,0.0933,0.0533,0.2667,0.0667","0.0,0.0,0.4082,0.4061,0.0,0.1857,0.0,0.0",2025-09-08 15:09:30.758033,True,2025-09-08 15:09:30.758033
sim_00000070,user_000599,user_000773,0.1421,cosine,"0.0,0.2067,0.2733,0.04,0.0933,0.0533,0.2667,0.0667","0.0,0.0351,0.0,0.0,0.0351,0.9298,0.0,0.0",2025-09-08 15:09:30.758044,True,2025-09-08 15:09:30.758045
sim_00000071,user_000599,user_000370,0.1574,cosine,"0.0,0.2067,0.2733,0.04,0.0933,0.0533,0.2667,0.0667","0.0667,0.0,0.0,0.6667,0.2667,0.0,0.0,0.0",2025-09-08 15:09:30.758056,True,2025-09-08 15:09:30.758056
sim_00000072,user_000599,user_000738,0.1174,cosine,"0.0,0.2067,0.2733,0.04,0.0933,0.0533,0.2667,0.0667","0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0",2025-09-08 15:09:30.758067,True,2025-09-08 15:09:30.758068
sim_00000073,user_000599,user_000442,0.1658,cosine,"0.0,0.2067,0.2733,0.04,0.0933,0.0533,0.2667,0.0667","0.0,0.0,0.0,0.0,0.2083,0.7917,0.0,0.0",2025-09-08 15:09:30.758079,True,2025-09-08 15:09:30.758079
sim_00000074,user_000599,user_000523,0.349,cosine,"0.0,0.2067,0.2733,0.04,0.0933,0.0533,0.2667,0.0667","0.1,0.4,0.0,0.5,0.0,0.0,0.0,0.0",2025-09-08 15:09:30.758090,True,2025-09-08 15:09:30.758091
sim_00000075,user_000599,user_000187,0.7476,cosine,"0.0,0.2067,0.2733,0.04,0.0933,0.0533,0.2667,0.0667","0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0",2025-09-08 15:09:30.758102,True,2025-09-08 15:09:30.758102
sim_00000076,user_000599,user_000231,0.4553,cosine,"0.0,0.2067,0.2733,0.04,0.0933,0.0533,0.2667,0.0667","0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0",2025-09-08 15:09:30.758113,True,2025-09-08 15:09:30.758113
sim_00000077,user_000599,user_000602,0.4553,cosine,"0.0,0.2067,0.2733,0.04,0.0933,0.0533,0.2667,0.0667","0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0",2025-09-08 15:09:30.758129,True,2025-09-08 15:09:30.758130
sim_00000078,user_000599,user_000419,0.3239,cosine,"0.0,0.2067,0.2733,0.04,0.0933,0.0533,0.2667,0.0667","0.0,0.1818,0.0,0.4545,0.3636,0.0,0.0,0.0",2025-09-08 15:09:30.758142,True,2025-09-08 15:09:30.758142
sim_00000079,user_000599,user_000202,0.6463,cosine,"0.0,0.2067,0.2733,0.04,0.0933,0.0533,0.2667,0.0667","0.0534,0.0305,0.7023,0.1221,0.0687,0.0076,0.0,0.0153",2025-09-08 15:09:30.758154,True,2025-09-08 15:09:30.758154
sim_00000080,user_000599,user_000653,0.5874,cosine,"0.0,0.2067,0.2733,0.04,0.0933,0.0533,0.2667,0.0667","0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0",2025-09-08 15:09:30.758165,True,2025-09-08 15:09:30.758165
sim_00000081,user_000599,user_000928,0.276,cosine,"0.0,0.2067,0.2733,0.04,0.0933,0.0533,0.2667,0.0667","0.0333,0.0333,0.0133,0.0133,0.5667,0.3267,0.0,0.0133",2025-09-08 15:09:30.758177,True,2025-09-08 15:09:30.758177
sim_00000082,user_000599,user_000947,0.2055,cosine,"0.0,0.2067,0.2733,0.04,0.0933,0.0533,0.2667,0.0667","0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0",2025-09-08 15:09:30.758189,True,2025-09-08 15:09:30.758189
sim_00000083,user_000599,user_000718,0.4728,cosine,"0.0,0.2067,0.2733,0.04,0.0933,0.0533,0.2667,0.0667","0.1739,0.3986,0.0145,0.029,0.0797,0.2826,0.0072,0.0145",2025-09-08 15:09:30.758201,True,2025-09-08 15:09:30.758201
sim_00000084,user_000599,user_000031,0.2444,cosine,"0.0,0.2067,0.2733,0.04,0.0933,0.0533,0.2667,0.0667","0.0,0.0,0.0,0.0,0.4545,0.0,0.0,0.5455",2025-09-08 15:09:30.758212,True,2025-09-08 15:09:30.758213
sim_00000085,user_000599,user_000226,0.2303,cosine,"0.0,0.2067,0.2733,0.04,0.0933,0.0533,0.2667,0.0667","0.0,0.0,0.0,0.0,0.8333,0.0,0.0,0.1667",2025-09-08 15:09:30.758224,True,2025-09-08 15:09:30.758224
sim_00000086,user_000599,user_000666,0.2199,cosine,"0.0,0.2067,0.2733,0.04,0.0933,0.0533,0.2667,0.0667","0.0,0.0,0.0,0.5789,0.1053,0.0,0.0526,0.2632",2025-09-08 15:09:30.758235,True,2025-09-08 15:09:30.758235
sim_00000087,user_000599,user_000537,0.5009,cosine,"0.0,0.2067,0.2733,0.04,0.0933,0.0533,0.2667,0.0667","0.0,0.7353,0.0294,0.0,0.0,0.0,0.0,0.2353",2025-09-08 15:09:30.758247,True,2025-09-08 15:09:30.758247
sim_00000088,user_000599,user_000778,0.1465,cosine,"0.0,0.2067,0.2733,0.04,0.0933,0.0533,0.2667,0.0667","0.0,0.0,0.0,0.4,0.0,0.6,0.0,0.0",2025-09-08 15:09:30.758258,True,2025-09-08 15:09:30.758258
sim_00000089,user_000599,user_000096,0.5172,cosine,"0.0,0.2067,0.2733,0.04,0.0933,0.0533,0.2667,0.0667","0.35,0.0,0.0,0.0,0.0,0.0,0.65,0.0",2025-09-08 15:09:30.758270,True,2025-09-08 15:09:30.758270
sim_00000090,user_000599,user_000877,0.5615,cosine,"0.0,0.2067,0.2733,0.04,0.0933,0.0533,0.2667,0.0667","0.0,0.0,0.625,0.375,0.0,0.0,0.0,0.0",2025-09-08 15:09:30.758282,True,2025-09-08 15:09:30.758282
sim_00000091,user_000599,user_000873,0.1707,cosine,"0.0,0.2067,0.2733,0.04,0.0933,0.0533,0.2667,0.0667","0.0,0.0,0.0,0.0,0.0,0.6667,0.0,0.3333",2025-09-08 15:09:30.758297,True,2025-09-08 15:09:30.758297
sim_00000092,user_000599,user_000092,0.4553,cosine,"0.0,0.2067,0.2733,0.04,0.0933,0.0533,0.2667,0.0667","0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0",2025-09-08 15:09:30.758311,True,2025-09-08 15:09:30.758311
sim_00000093,user_000599,user_000297,0.6019,cosine,"0.0,0.2067,0.2733,0.04,0.0933,0.0533,0.2667,0.0667","0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0",2025-09-08 15:09:30.758322,True,2025-09-08 15:09:30.758323
sim_00000094,user_000599,user_000592,0.1174,cosine,"0.0,0.2067,0.2733,0.04,0.0933,0.0533,0.2667,0.0667","0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0",2025-09-08 15:09:30.758334,True,2025-09-08 15:09:30.758334
sim_00000095,user_000599,user_000700,0.3411,cosine,"0.0,0.2067,0.2733,0.04,0.0933,0.0533,0.2667,0.0667","0.0,0.0,0.0,0.05,0.0,0.0,0.25,0.7",2025-09-08 15:09:30.758345,True,2025-09-08 15:09:30.758346
sim_00000096,user_000599,user_000428,0.2185,cosine,"0.0,0.2067,0.2733,0.04,0.0933,0.0533,0.2667,0.0667","0.0,0.0,0.0,0.2857,0.25,0.4643,0.0,0.0",2025-09-08 15:09:30.758357,True,2025-09-08 15:09:30.758357
sim_00000097,user_000599,user_000865,0.5189,cosine,"0.0,0.2067,0.2733,0.04,0.0933,0.0533,0.2667,0.0667","0.0,0.0,0.5455,0.4545,0.0,0.0,0.0,0.0",2025-09-08 15:09:30.758368,True,2025-09-08 15:09:30.758368
sim_00000098,user_000599,user_000443,0.5653,cosine,"0.0,0.2067,0.2733,0.04,0.0933,0.0533,0.2667,0.0667","0.0323,0.0,0.5806,0.3548,0.0,0.0,0.0,0.0323",2025-09-08 15:09:30.758380,True,2025-09-08 15:09:30.758380
sim_00000099,user_000599,user_000643,0.2271,cosine,"0.0,0.2067,0.2733,0.04,0.0933,0.0533,0.2667,0.0667","0.0435,0.0,0.0,0.0,0.2174,0.5217,0.0,0.2174",2025-09-08 15:09:30.758391,True,2025-09-08 15:09:30.758391
sim_00000100,user_000599,user_000293,0.5874,cosine,"0.0,0.2067,0.2733,0.04,0.0933,0.0533,0.2667,0.0667","0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0",2025-09-08 15:09:30.758402,True,2025-09-08 15:09:30.758403
sim_00000101,user_000599,user_000088,0.3461,cosine,"0.0,0.2067,0.2733,0.04,0.0933,0.0533,0.2667,0.0667","0.3333,0.0,0.0,0.0,0.0,0.0556,0.2222,0.3889",2025-09-08 15:09:30.758414,True,2025-09-08 15:09:30.758414
sim_00000102,user_000599,user_000800,0.6019,cosine,"0.0,0.2067,0.2733,0.04,0.0933,0.0533,0.2667,0.0667","0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0",2025-09-08 15:09:30.758425,True,2025-09-08 15:09:30.758425
sim_00000103,user_000599,user_000199,0.2902,cosine,"0.0,0.2067,0.2733,0.04,0.0933,0.0533,0.2667,0.0667","0.0619,0.0238,0.0286,0.0714,0.0095,0.2762,0.0429,0.4857",2025-09-08 15:09:30.758437,True,2025-09-08 15:09:30.758437
sim_00000104,user_000599,user_000474,0.3647,cosine,"0.0,0.2067,0.2733,0.04,0.0933,0.0533,0.2667,0.0667","0.0,0.0,0.18,0.0,0.2,0.02,0.0,0.6",2025-09-08 15:09:30.758449,True,2025-09-08 15:09:30.758449
