시설구분코드|시설코드|시설명|시설규모|대피가능인원수|관리기관명|관리기관전화번호|시설주소도로명|경도|위도|개방여부|지상지하구분
지진|S201200002|평광행복타운 지하주차장 1층|618|749|대구광역시 달성군청|053-668-2890|대구광역시 달성군 논공읍 논공중앙로22길 12-0|128.4475|35.72527777777778|Y|1
한파|E199700003|정부지원 민방위 비상급수시설(군민운동장내)|300|300|대구광역시 달성군청|053-668-2890|대구광역시 달성군 논공읍 논공로 697-10|128.4488888888889|35.72944444444445|Y|0
지진|S199600005|우방연합아파트 지하주차장 1층|1232|1493|대구광역시 달성군청|053-668-2890|대구광역시 달성군 논공읍 논공중앙로22길 36-0|128.4488888888889|35.72361111111111|Y|1
지진|S199600006|성원 아파트 지하주차장 1층|3258|3949|대구광역시 달성군청|053-668-2890|대구광역시 달성군 논공읍 논공로23길 14-0|128.4452777777778|35.73111111111111|Y|1
지진|S201000001|달성군청 지하 1층|543|658|대구광역시 달성군청|053-668-2890|대구광역시 달성군 논공읍 달성군청로 33|128.43166666666664|35.77472222222222|Y|1
지진|E202100005|대동공업|280|280|대구광역시 달성군청|053-668-2890|대구광역시 달성군 논공읍 논공중앙로34길 35|128.45555555555555|35.727222222222224|Y|1
지진|S202200002|우신미가뷰 아파트 지하주차장 1~3층|36961|44801|대구광역시 달성군청|053-668-2890|대구광역시 달성군 논공읍 금포로 75-20(우신미가뷰 아파트)|128.4283333333333|35.769999999999996|Y|1
지진|S199700002|강창우방아파트 지하주차장 1층~2층|2260|2739|대구광역시 달성군청|053-668-2890|대구광역시 달성군 다사읍 달구벌대로 770 (강창우방타운)|128.45638888888888|35.86138888888889|Y|1
지진|S199700001|서재보성1차 아파트 지하주차장 1~2층|7651|9273|대구광역시 달성군청|053-668-2890|대구광역시 달성군 다사읍 서재로30길 17-0|128.5|35.87722222222222|Y|1
지진|S201000002|다사주공1단지 지하주차장 1층|1763|2136|대구광역시 달성군청|053-668-2890|대구광역시 달성군 다사읍 매곡로14길 13-0|128.45666666666665|35.86611111111111|Y|1
지진|S200600002|대구 대실역 지하1~3층|2456|2976|대구광역시 달성군청|053-668-2890|대구광역시 달성군 다사읍 달구벌대로 지하 888 (대실역)|128.46583333333334|35.85666666666667|Y|1
지진|S201700011|강창동서아파트 지하주차장 1층|1243|1506|대구광역시 달성군청|053-668-2890|대구광역시 달성군 다사읍 왕선로 49 (강창동서아파트)|128.4633333333333|35.864444444444445|Y|1
지진|S201700012|강창한서꼼빠니아 지하주차장 1층|2570|3115|대구광역시 달성군청|053-668-2890|대구광역시 달성군 다사읍 달구벌대로 802-1 (강창한서꼼빠니아타운)|128.4597222222222|35.861111111111114|Y|1
지진|S201700052|옥포LH허브시티 아파트 지하 1층|8047|9753|대구광역시 달성군청|053-668-2890|대구광역시 달성군 옥포읍 비슬로 1941 (대구옥포LH허브시티)|128.43555555555557|35.782222222222224|Y|1
지진|S201700053|대성베르힐4단지 아파트 지하 1층|10976|13304|대구광역시 달성군청|053-668-2890|대구광역시 달성군 옥포읍 돌미로 70 (옥포대성베르힐4단지)|128.4413888888889|35.780277777777776|Y|1
지진|S201100009|산격2차 청구맨션 전체동의 지하주차장 1,2층|6350|7696|대구광역시 북구청|053-665-4310|대구광역시 북구 대구체육관로4길 2 (산격동, 산격2차청구맨션)|128.60222222222222|35.890277777777776|Y|1
지진|S201100010|산격1차청구맨션 전체동의 지하주차장 1층|2080|2521|대구광역시 북구청|053-665-4310|대구광역시 북구 대구체육관로 12 (산격동, 산격청구맨션)|128.6013888888889|35.89055555555556|Y|1
지진해일|E201200001|스카이 사우나 3층|210|210|대구광역시 북구청|053-665-3900|대구광역시 북구 동북로 156 (산격동)|128.60972222222222|35.89944444444444|Y|0
지진|S200300061|경북대 도서관 신관 지하 1층|826|1001|대구광역시 북구청|053-665-4310|대구광역시 북구 대학로 80 (산격동, 경북대학교)|128.60972222222222|35.8875|Y|1
지진|S200300062|경북대 복현회관 지하 1층|1256|1522|대구광역시 북구청|053-665-4310|대구광역시 북구 대학로 80 (산격동, 경북대학교)|128.60972222222222|35.8875|Y|1
지진|S202000001|봉덕한라하우젠트아파트 지하1층|4758|5767|대구광역시 남구청|053-664-3930|대구광역시 남구 봉덕로21길 53-16(봉덕동, 봉덕한라하우젠트퍼스트아파트)|128.59972222222223|35.846944444444446|Y|1
한파|E199500001|남구종합사회복지관|250|250|대구광역시 남구청|053-664-3930|대구광역시 남구 중앙대로38길 17 (대명동, 남구종합사회복지관)|128.59194444444447|35.84916666666667|Y|1
지진|S201000007|우체국보험 대구회관 지하1층~지하5층|7200|8727|대구광역시 남구청|053-664-3890|대구광역시 남구 중앙대로 200 (대명동, 남대구우체국)|128.59083333333334|35.85055555555556|Y|1
지진|S200200012|교대역정거장 지하1층~지하3층|4175|5060|대구광역시 남구청|053-664-3890|대구광역시 남구 중앙대로 지하 194 (대명동, 교대역)|128.59055555555557|35.85|Y|1
지진|S202000002|교대역 동서프라임36.5 아파트 지하주차장 지하1층|6960|8436|대구광역시 남구청|053-664-3890|대구광역시 남구 이천로19길 81 (대명동, 교대역동서프라임36.5)|128.595|35.85111111111111|Y|1
지진|S201000004|대구광역시시설관리공단 지하주차장 1층|749|907|대구광역시 남구청|053-664-3890|대구광역시 남구 대명로 29 (대명동, 대구광역시 시설관리공단)|128.56111111111113|35.83888888888889|Y|1
지진|S201000003|대구교육대학교 학생생활관 지하주차장 1층|241|292|대구광역시 남구청|053-664-3890|대구광역시 남구 도촌길 37 (대명동, 대구교육대학교학생생활관)|128.57083333333333|35.84055555555556|Y|1
지진|S201800002|나나바루아 아파트 지하주차장 1층|1465|1775|대구광역시 남구청|053-664-3890|대구광역시 남구 대명복개로4길 104 (대명동)|128.56555555555556|35.83972222222222|Y|1
무더위|E200100001|남구청|600|600|대구광역시 남구청|053-664-3930|대구광역시 남구 이천로 51 (봉덕동)|128.5975|35.846111111111114|Y|0
한파|E199700001|대명초등학교|400|400|대구광역시 남구청|053-664-3930|대구광역시 남구 대명로 100 (대명동)|128.5688888888889|35.83916666666667|Y|0
지진|E202200001|천지원목욕탕|90|90|대구광역시 남구청|053-664-3930|대구광역시 남구 대명로 80(대명동)|128.5663888888889|35.83888888888889|Y|0
지진|S199700006|지하철대명역 지하1층|5569|6750|대구광역시 남구청|053-664-3930|대구광역시 남구 대명로 지하 71 (대명동, 대명역)|128.5652777777778|35.839444444444446|Y|1
지진|S202300001|"대명역센트럴엘리프
 지하1-2층"|50441|61140|대구광역시 남구청|053-664-3930|대구광역시 남구 대명로14길 60 (대명동, 대명역센트럴엘리프)|128.56444444444446|35.83638888888889|Y|1
지진|S197800025|KT&G대구본부 지하1층|3083|3736|대구광역시 남구청|053-664-3890|대구광역시 남구 대명로 124 (대명동)|128.57083333333333|35.83916666666667|Y|1
지진|S201000016|강변코오롱하늘채 아파트 지하1층|18669|22629|대구광역시 남구청|053-664-3930|대구광역시 남구 봉덕로 134 (봉덕동, 강변코오롱하늘채)|128.6052777777778|35.844166666666666|Y|1
지진|S199100019|지산한라타운 지하주차장 지하1층|3468|4203|대구광역시 수성구청|053-666-2960|대구광역시 수성구 지범로22길 9, 주차장 지하 1층 (지산동, 지산한라타운)|128.6361111111111|35.82277777777778|Y|1
지진|S199100024|지산우방타운 지하주차장 지하 1층|1829|2216|대구광역시 수성구청|053-666-2960|대구광역시 수성구 지산로 32, 주차장 지하1층 (지산동, 지산우방타운)|128.63305555555556|35.823888888888895|Y|1
지진|S199100025|지산영남맨션 지하주차장 지하1층|5129|6216|대구광역시 수성구청|053-666-2960|대구광역시 수성구 지산로 31, 주차장 지하1층 (지산동, 지산영남맨션)|128.63250000000002|35.824444444444445|Y|1
지진|S199100026|화성맨션 지하주차장 지하1층|4579|5550|대구광역시 수성구청|053-666-2960|대구광역시 수성구 용학로35길 62, 주차장 지하1층 (지산동, 화성맨션)|128.63|35.825|Y|1
지진|S199100028|지산2동보성맨션 지하주차장 지하1층|2956|3583|대구광역시 수성구청|053-666-2960|대구광역시 수성구 지범로22길 10, 주차장 지하1층 (지산동, 지산보성맨션)|128.63583333333332|35.823055555555555|Y|1
지진|S199100020|지산협화맨션 지하주차장 지하1층|2711|3286|대구광역시 수성구청|053-666-2960|대구광역시 수성구 지범로22길 23, 주차장 지하1층 (지산동, 지산협화맨션)|128.63555555555556|35.821111111111115|Y|1
지진|S199100022|지산현대맨션 지하주차장 지하1층|5310|6436|대구광역시 수성구청|053-666-2960|대구광역시 수성구 지범로22길 20, 주차장 지하1층 (지산동, 지산현대맨션)|128.63444444444443|35.82166666666667|Y|1
지진|S199100027|지산리더스 지하주차장 지하1층|3135|3800|대구광역시 수성구청|053-666-2960|대구광역시 수성구 지산로 5, 주차장 지하1층 (지산동, 지산리더스)|128.6313888888889|35.82222222222222|Y|1
지진|S199100023|에덴아파트 지하주차장 지하1층|3415|4139|대구광역시 수성구청|053-666-2960|대구광역시 수성구 용학로 223, 주차장 지하1층 (지산동, 지산에덴아파트)|128.63333333333333|35.821111111111115|Y|1
지진|S201800001|지산대우로얄하이츠 지하주차장 지하1층|2584|3132|대구광역시 수성구청|053-666-2960|대구광역시 수성구 용학로36길 20, 주차장 지하1층 (지산동, 지산대우로얄하이츠)|128.6277777777778|35.821111111111115|Y|1
지진|S199700003|하나타운 전체동 지하주차장 지하1층|9909|12010|대구광역시 수성구청|053-666-2960|대구광역시 수성구 고산로 123, 지하주차장 1층 (매호동, 하나타운)|128.70416666666665|35.841944444444444|Y|1
지진|S199600035|사월보성타운 107동앞 지하주차장1층,그외주차장1~2층|9631|11673|대구광역시 수성구청|053-666-2960|대구광역시 수성구 욱수천로 133, 지하주차장 1~2층 (사월동, 시지2차사월보성타운)|128.71527777777777|35.839444444444446|Y|1
지진|S200600006|한일유앤아이 지하주차장 지하1~2층|5520|6690|대구광역시 수성구청|053-666-2960|대구광역시 수성구 고산로 162, 주차장지하 1~2층 (매호동, 한일유앤아이)|128.70749999999998|35.845|Y|1
지진|S200600034|대구시지푸르지오 지하주차장 지하1~2층|10531|12764|대구광역시 수성구청|053-666-2960|대구광역시 수성구 달구벌대로661길 7, 주차장지하 1~2층 (사월동, 대구 시지 푸르지오)|128.71916666666667|35.83694444444445|Y|1
지진|S200600052|매호효성백년가약 지하주차장 지하1층|5087|6166|대구광역시 수성구청|053-666-2960|대구광역시 수성구 천을로23길 31, 주차장지하 1층 (매호동, 매호 효성백년가약 아파트)|128.70583333333332|35.846111111111114|Y|1
지진해일|E199100001|광덕빌딩|70|70|대구광역시 수성구청|053-666-2960|대구광역시 수성구 명덕로 411, (수성동2가, 광덕빌딩, 지하2층) (수성동2가)|128.61499999999998|35.85472222222222|Y|1
지진|S200600042|범어역 지하1~4층|8318|10082|대구광역시 수성구청|053-666-2960|대구광역시 수성구 달구벌대로 지하2396,  범어역 지하1~4층 (범어동)|128.62444444444446|35.85888888888889|Y|1
지진|S201000010|범어유림노르웨이숲 전체동의 지하주차장 지하2층|10943|13264|대구광역시 수성구청|053-666-2960|대구광역시 수성구 동대구로50길 37, 지하2층 (범어동, 유림노르웨이숲)|128.6277777777778|35.85305555555556|Y|1
한파|E197800002|중부소방서|653|653|대구광역시 중구청|053-661-2250|대구광역시 중구 달구벌대로 1926 (남산동, 대구중부소방서)|128.57527777777779|35.86222222222222|Y|0
지진|S201000021|가톨릭대학병원 장례식장 지하1층|4114|4986|대구광역시 남구청|053-664-3930|대구광역시 남구 두류공원로17길 33, 대구가톨릭의과대학병원 (대명동)|128.56805555555556|35.844166666666666|Y|1
지진|S198300001|남구청 지하1층|564|683|대구광역시 남구청|053-664-3930|대구광역시 남구 이천로 51 (봉덕동, 남구청,남구의회,봉덕1동주민센터)|128.59833333333333|35.84583333333334|Y|1
지진|S199300004|주식회사KT 지하1층|5363|6500|대구광역시 남구청|053-664-3930|대구광역시 남구 봉덕로 61 (봉덕동)|128.5977777777778|35.84527777777778|Y|1
지진|S200300118|북부도서관 지하 1층|401|486|대구광역시 북구청|053-665-4310|대구광역시 북구 옥산로 75 (침산동, 북부도서관)|128.5838888888889|35.885|Y|1
한파|E198200004|대구체육관|400|400|대구광역시 북구청|053-665-3900|대구광역시 북구 대구체육관로 39 (산격동, 대구체육관)|128.60333333333332|35.89333333333333|Y|0
지진|S199200005|범물영남타운 전체동의 지하1층 주차장|3422|4147|대구광역시 수성구청|053-666-2960|대구광역시 수성구 용학로 316, 범물영남보성아파트 지하주차장 지하1층 (범물동, 범물영남보성아파트)|128.64166666666665|35.82194444444445|Y|1
지진|S200600039|만촌태왕리더스아파트 전체 동의 지하주차장 지하1~2층|9213|11167|대구광역시 수성구청|053-666-2960|대구광역시 수성구 무열로 47, 지하1~2층 (만촌동, 만촌태왕리더스)|128.6483333333333|35.863055555555555|Y|1
지진|S200600040|만촌역 지하1~3층|8972|10875|대구광역시 수성구청|053-666-2960|대구광역시 수성구 달구벌대로 지하2584, 만촌역 지하1~3층 (만촌동)|128.64527777777778|35.85888888888889|Y|1
지진|S200600062|월배역포스코더？아파트 지하1층 지하주차장|2769|3356|대구광역시 달서구청|053-667-2890|대구광역시 달서구 월서로 51 (진천동, 월배역포스코더샵아파트)|128.52972222222223|35.818333333333335|Y|1
지진|S201900001|수목원 서한이다음 지하1층 주차장|25655|31096|대구광역시 달서구청|053-667-2890|대구광역시 달서구 한실로6길 123 (대곡동, 수목원서한이다음아파트)|128.5302777777778|35.795833333333334|Y|1
한파|E199900002|도원공원|200|200|대구광역시 달서구청|053-667-2890|대구광역시 달서구 미리샘길 26 (도원동)|128.54361111111112|35.80638888888888|Y|0
지진|S199800003|월성보성타운1단지 지하1층 지하주차장|4910|5951|대구광역시 달서구청|053-667-2890|대구광역시 달서구 학산로 30 (월성동, 월성보성타운1단지)|128.53250000000003|35.82805555555556|Y|1
지진|S199800004|월성청구아파트 지하1층 지하주차장|3775|4575|대구광역시 달서구청|053-667-2890|대구광역시 달서구 학산로2길 24 (월성동, 월성청구아파트)|128.5327777777778|35.82527777777778|Y|1
지진|S202300001|월성삼정그린코아에듀파크 지하1~2층 주차장|56742|68778|대구광역시 달서구청|053-667-2890|대구광역시 달서구 월성로 100 (월성동, 월성 삼정그린코아 에듀파크)|128.5252777777778|35.82916666666667|Y|1
지진|S199100050|월성우방타운 지하1층 지하주차장|706|855|대구광역시 달서구청|053-667-2890|대구광역시 달서구 학산로2길 11 (월성동, 월성우방타운)|128.53250000000003|35.82638888888889|Y|1
지진|S201100015|태왕아너스베스트아파트 지하1층 지하주차장|1093|1324|대구광역시 달서구청|053-667-2890|대구광역시 달서구 월배로33길 117 (월성동, 태왕 아너스 BEST)|128.52722222222224|35.82027777777778|Y|1
지진|S200600050|용산현대우방아파트 지하주차장 1층|7986|9680|대구광역시 달서구청|053-667-2890|대구광역시 달서구 용산로 253 (용산동, 용산현대우방아파트)|128.52944444444447|35.86027777777778|Y|1
지진|S200600057|용산동서우방아파트 지하주차장 1층|3686|4467|대구광역시 달서구청|053-667-2890|대구광역시 달서구 장산로 20 (용산동, 용산동서우방타운아파트)|128.52805555555557|35.85472222222222|Y|1
지진|S202300003|대곡역 지하 1층~3층 대피소|5888|7136|대구광역시 달서구청|053-667-2890|대구광역시 달서구 비슬로 지하2718, 대구지하철1호선 대곡역 (대곡동)|128.5125|35.809444444444445|Y|1
지진|S199700066|도시철도 월배역 지하1층~2층 지하주차장|4907|5947|대구광역시 달서구청|053-667-2890|대구광역시 달서구 월배로 지하 143 (진천동, 대구지하철1호선 월배역)|128.53|35.816111111111105|Y|1
지진|S199700067|도시철도 진천역 지하1층~지하2층|5016|6080|대구광역시 달서구청|053-667-2890|대구광역시 달서구 월배로 지하 76 (진천동, 대구지하철1호선 진천역)|128.5225|35.81388888888888|Y|1
지진|S200600058|진천세광그린타운 지하1층 지하주차장|4392|5323|대구광역시 달서구청|053-667-2890|대구광역시 달서구 진천로7길 47-0 (진천동, 세광그린타운)|128.52305555555557|35.81055555555555|Y|1
지진|S200600061|진천트윈팰리스 지하1층 지하주차장|5656|6855|대구광역시 달서구청|053-667-2890|대구광역시 달서구 월배로 71 (진천동, 진천트윈팰리스)|128.52222222222224|35.814166666666665|Y|1
지진|S201600003|진천역 계룡리슈빌 지하1층 지하주차장|2728|3306|대구광역시 달서구청|053-667-2890|대구광역시 달서구 진천로 77 (진천동, 진천역 계룡 리슈빌)|128.52194444444447|35.815555555555555|Y|1
지진|S200600067|수목원삼성래미안아파트 지하1층 지하주차장|2883|3494|대구광역시 달서구청|053-667-2890|대구광역시 달서구 상화로8길 23 (대곡동, 수목원삼성래미안)|128.51805555555558|35.80694444444444|Y|1
지진|S200600060|진천역 대우이안아파트 지하1층 지하주차장|6672|8087|대구광역시 달서구청|053-667-2890|대구광역시 달서구 진천로18길 10 (진천동, 진천역대우이안아파트)|128.52472222222224|35.816111111111105|Y|1
지진해일|E201300001|대구광역시 수목원관리사무소|330|330|대구광역시 달서구청|053-667-2890|대구광역시 달서구 화암로 342 (대곡동, 대구수목원관리사무소)|128.52083333333334|35.800555555555555|Y|0
지진|S200600066|대곡우방타운 지하1층 지하주차장|7101|8607|대구광역시 달서구청|053-667-2890|대구광역시 달서구 비슬로538길 22 (대곡동, 대곡우방타운)|128.50916666666666|35.80638888888888|Y|1
지진|S198400001|월배시장 주차장|1980|2400|대구광역시 달서구청|053-667-2890|대구광역시 달서구 월배로24길 13 (진천동, 월배시장)|128.5275|35.81388888888888|Y|1
지진|S201500002|범어SK뷰 전체 동의 지하주차장 지하1층|1758|2130|대구광역시 수성구청|053-666-2960|대구광역시 수성구 범어로 73, 지하1층 (범어동, 범어 SK VIEW)|128.635|35.855555555555554|Y|1
지진|S201500003|효성백년가약 궁 지하주차장 지하1층|4618|5597|대구광역시 수성구청|053-666-2960|대구광역시 수성구 청호로 466, 지하 1층 (범어동, 효성백년가약 궁)|128.64333333333332|35.85666666666667|Y|1
지진|S199600030|우방청솔맨션 지하주차장 지하1층|4620|5600|대구광역시 수성구청|053-666-2960|대구광역시 수성구 청호로 422, 지하1층 (범어동, 우방청솔맨션)|128.64027777777778|35.85416666666667|Y|1
지진|S200600043|수성구청역 지하1~4층|9301|11273|대구광역시 수성구청|053-666-2960|대구광역시 수성구 달구벌대로 지하2500, 수성구청역 지하1-4층 (범어동)|128.63583333333332|35.85861111111111|Y|1
지진해일|E198900002|선스포츠프라자|640|640|대구광역시 수성구청|053-666-2960|대구광역시 수성구 범어로 9 (범어동)|128.63722222222222|35.85055555555556|Y|0
지진|S201000015|수성화성파크드림 전체동의 지하주차장 지하1~2층|15788|19136|대구광역시 수성구청|053-666-2960|대구광역시 수성구 용학로28길 8, 지하1~2층 (두산동, 수성화성파크드림)|128.62472222222223|35.822500000000005|Y|1
지진|S201000014|대우트럼프월드수성 전체동의 지하주차장 지하 1~2층|30800|37333|대구광역시 수성구청|053-666-2960|대구광역시 수성구 동대구로 59, 지하1~2층 (두산동, 대우트럼프월드수성아파트)|128.62305555555557|35.83694444444445|Y|1
지진|S201900001|홈플러스 대구수성점 지하주차장 지하 2~3층|3829|4641|대구광역시 수성구청|053-666-2960|대구광역시 수성구 동대구로 95, 지하주차장2~3층 (두산동, 수성 SK리더스뷰)|128.62361111111113|35.83916666666667|Y|1
한파|E199900001|마산어린이공원|200|200|대구광역시 수성구청|053-666-2960|대구광역시 수성구 범안로 103 (범물동)|128.64888888888888|35.81888888888889|Y|0
지진|S199200004|범물보성맨션 전체동의 지하1층 주차장|3425|4151|대구광역시 수성구청|053-666-2960|대구광역시 수성구 용학로 316, 지하주차장지하층 (범물동, 범물영남보성아파트)|128.64333333333332|35.822500000000005|Y|1
지진|S199200006|범물하이츠 전체동의 지하1층 주차장|4250|5151|대구광역시 수성구청|053-666-2960|대구광역시 수성구 용학로 336, 지하주차장 지하1층 (범물동, 범물 하이츠)|128.6436111111111|35.824444444444445|Y|1
지진|S199200003|범물용지아파트 전체동의 지하 1층 주차장|7735|9375|대구광역시 수성구청|053-666-2960|대구광역시 수성구 범안로 77, 지하주차장 지하1층 (범물동, 범물용지아파트)|128.64583333333331|35.81861111111112|Y|1
지진|S201000006|수성3가롯데캐슬 전체동의 지하주차장 지하 1~2층|3176|3849|대구광역시 수성구청|053-666-2960|대구광역시 수성구 명덕로 455, 지하주차장 1~2층 (수성동3가, 수성3가롯데캐슬아파트)|128.61944444444444|35.85583333333334|Y|1
한파|E198200002|청소년어린이공원|600|600|대구광역시 수성구청|053-666-2960|대구광역시 수성구 수성로32길 99 (상동)|128.6136111111111|35.83638888888889|Y|0
지진|S201000005|수성동일하이빌레이크시티아파트 지하주차장 지하 1~2층|83703|101458|대구광역시 수성구청|053-666-2960|대구광역시 수성구 수성로 71, 지하주차장 지하1층 (상동, 수성동일하이빌레이크시티아파트)|128.61083333333332|35.8325|Y|1
지진|S200600041|대구은행역 지하 1~3층|9553|11579|대구광역시 수성구청|053-666-2960|대구광역시 수성구 달구벌대로 지하2300, 대구은행역 지하1~3층 (수성동4가)|128.61416666666665|35.86|Y|1
지진|S200400004|태왕아너스 주차장 지하 1~2층|8922|10814|대구광역시 수성구청|053-666-2960|대구광역시 수성구 청호로 345, 주차장 지하 1~2층 (황금동, 태왕아너스아파트)|128.6375|35.848333333333336|Y|1
지진|S200700003|캐슬골드파크2단지 주차장 지하 1~2층|10985|13315|대구광역시 수성구청|053-666-2960|대구광역시 수성구 청수로 235, 주차장 지하 1~2층 (황금동, 캐슬골드파크 2단지)|128.6338888888889|35.84166666666667|Y|1
지진|S201500001|앞산클래식명가 지하1층|1407|1705|대구광역시 남구청|053-664-3790|대구광역시 남구 현충로 107 (대명동, 앞산클래식명가)|128.57972222222222|35.8425|Y|1
지진|S199700009|지하철 서부정류장역 지하1층|3825|4636|대구광역시 남구청|053-664-3950|대구광역시 남구 월배로 지하 501 (대명동)|128.55694444444447|35.83722222222222|Y|1
지진|S200400004|현대요양병원 지하1층|324|392|대구광역시 남구청|053-664-3950|대구광역시 남구 대명로 24 (대명동)|128.56|35.838055555555556|Y|1
지진|S200700005|캐슬골드파크4단지 주차장 지하 1~2층|51268|62143|대구광역시 수성구청|053-666-2960|대구광역시 수성구 청수로 261, 주차장 지하 1~2층 (황금동, 캐슬골드파크 4단지)|128.63666666666666|35.84111111111111|Y|1
지진|S200700006|캐슬골드파크5단지 주차장 지하 1~2층|42578|51609|대구광역시 수성구청|053-666-2960|대구광역시 수성구 청수로 214, 주차장 지하 1~2층 (황금동, 캐슬골드파크5단지)|128.6313888888889|35.839444444444446|Y|1
지진|S200900001|제림은세계 지하주차장 지하1층|2592|3141|대구광역시 수성구청|053-666-2960|대구광역시 수성구 달구벌대로 3081, 지하주차장 지하 1층 (시지동, 제림은세계아파트)|128.69416666666666|35.844166666666666|Y|1
지진|E198100001|대구농업마이스터고등학교|63|63|대구광역시 수성구청|053-666-2960|대구광역시 수성구 달구벌대로 3170, 대구농업마이스터고등학교 (노변동)|128.70333333333332|35.84027777777778|Y|0
지진해일|E199600003|고산노변타운|84|84|대구광역시 수성구청|053-666-2960|대구광역시 수성구 시지로 55 (시지동, 노변타운)|128.695|35.839444444444446|Y|0
지진|E198900001|대륜고등학교|250|250|대구광역시 수성구청|053-666-3511|대구광역시 수성구 달구벌대로 2700 (만촌동, 대륜고등학교)|128.65555555555557|35.852222222222224|Y|0
지진|E201400003|대구혜화여자고등학교|160|160|대구광역시 수성구청|053-666-2960|대구광역시 수성구 교학로12길 62 (만촌동, 혜화여자고등학교)|128.6486111111111|35.85|Y|0
지진|S201100016|월성자이아파트 지하1층 지하주차장|1211|1467|대구광역시 달서구청|053-667-2890|대구광역시 달서구 조암남로10길 21 (월성동, 월성자이아파트)|128.52694444444447|35.82222222222222|Y|1
지진|S200600065|대곡역 동화타운 지하1층 지하주차장|3045|3690|대구광역시 달서구청|053-667-2890|대구광역시 달서구 상화로 24 (대곡동, 대곡역동화타운)|128.51666666666668|35.809444444444445|Y|1
지진|S200600068|삼성래미안2차아파트|2349|2847|대구광역시 달서구청|053-667-2890|대구광역시 달서구 상화로 86 (대곡동, 삼성래미안2차아파트)|128.52333333333334|35.80694444444444|Y|1
지진|E201000002|코리아사우나|325|325|대구광역시 수성구청|053-666-2960|대구광역시 수성구 신천동로 454 (수성동4가)|128.61333333333332|35.86388888888889|Y|0
지진|S201000016|수성대림e편한세상 전체 동의 지하주차장 지하1~2층|28010|33951|대구광역시 수성구청|053-666-2960|대구광역시 수성구 들안로73길 50-7, 지하주차장지하1~2층 (수성동4가, 수성대림 e-편한세상)|128.6147222222222|35.86472222222223|Y|1
지진|E200300004|남산고등학교|90|90|대구광역시 수성구청|053-666-2960|대구광역시 수성구 신천동로 364, 남산고등학교 (수성동1가)|128.60916666666665|35.85722222222223|Y|0
지진|S201700001|정화우방팔레스 지하주차장 지하1층|14330|17369|대구광역시 수성구청|053-666-2960|대구광역시 수성구 수성로 135, 지하주차장 지하1층 (상동, 정화우방팔레스)|128.61111111111111|35.83833333333334|Y|1
지진해일|E200300005|신세계스포렉스|420|420|대구광역시 수성구청|053-666-2960|대구광역시 수성구 신천동로 350 (수성동1가, 신세계스포렉스)|128.60888888888888|35.85638888888889|Y|0
지진해일|E200300006|한샘목욕탕|173|173|대구광역시 수성구청|053-666-2960|대구광역시 수성구 수성로53길 34, 한샘목욕탕 (수성동1가)|128.61111111111111|35.85027777777778|Y|0
